username,tweet
melkitteh,yang pasti 
itsmehasraf,sebab nak 
luqmanhafidz111,tanda kebersamaan lawan mereka yang sudah gagal  
ieedeel,sampai turun mereka 
rozainasha_mo,kalau macam laju yang makan durian sampai kesudah diam ’ obvious that they’ afraid don’ stop guys 
politikod,kempen ini akan berterusan hingga ada penyelesaian muktamad dari pihak jalan terbaik kepada penyelesaian krisis jika formula berjaya maka negara akan maju setapak dalam mencari jalan keluar 
tariq_iqmal,prodo with 
imrantoday,after white flag now black flag campaign malaysia malaysians are calling for resignation their lifting emergency rule and parliament convene means fight bahasa melayu covid new cases are still above 
aridzuanhazim,tiada kompromi kepada penindasan 
saubanismail,demanding changes for our nation now never 
dljeffry,menawa suara rakyat yang dalam kesusahan semoga ada sinar buat rakyat 
syazlinaiza,simple because sebulan lockdown yang sia2 nothing change nothing zero daily cases still high turun bawah paras pon tidak harini saja 107 kematian its obvious failure big fat one☝
taufiqhanafi91,kalau buat laporan polis terhadap kerajaan yang tindas rakyat boleh 
aimanthewise,acab freedom justice  not disorder that want and anarchy need freedom and justice want free 
rpeedomar,siap sedia 
ehhmilab,put black flag not only for but also for ✊✊
mad_mt,aku tunggu cadar king size ikea kering lok sigek rumah tok balut ngan cadar 
caerule_us,sebab tak nak cukai yang saya bayar digunakan untuk kepentingan sendiri kerajaan ini yang sudahlah bukan diundi oleh rakyat malah tidak juga menjalankan tanggungjawab mereka dengan elok
0wh0,sebab penat jadi bodoh dan diperbodohkan 
fazlyzakry,melihat menteri malaysia yang berpelajaran tinggi kini jelaslah bahawa berpelajaran tinggi belum tentu dapat membuat keputusan yang cepat serta tepat dan dapat berfikir secara rasional 
realaliamira,banyak betul kempen skang susah nak keep track  ⚫ ️
blackk0k0,dengar dari orang lama kalau dari rakyat teraniaya student perkerja diberhentikan orang susah small bisnes banyak scroll luahan dari mereka 
dan_alsagoff,jarang kulit muka lebih tebal dari kulit tapak kaki tapi berbeza buat kes yiddin 
opiesssss,benda batil kena lawan alquran turun membawa kebenaran itulah nabi rasul sampaikan itulah sebab kami lawan 
hanifmz,kain takda pakai plastik sampah nak humban masuk dalam plastik sampah 
zzaifrul,bangi represent 
lovepatrick89,mcm lah sop lancau … kejap fasa kejap pkpd kejap fasa kejap pkp…aish termarah plak aku…  
thalhahhazni,jangan takut utk biar waknat2 lebai pas ada twitter tahu betapa benci meluatnya rakyat puak diorg 
alrashidzulkefl,sudah hari berlalu sop negeri sabah sepatutnya dikemaskini umum sebelum masih tiada perkembangan terbaharu bayangkan seorang mall hubungi saya bertanya “kita sabah business hour pukul 10pm 7pm ” incompetent governance kana pisit biji 
hainorqalhan,kenapa aku rasa aku punya paling berani yang lain² letak mcm tersorok  peduli 
buayaskubang,angka tak menipu tapi dia menipu 
srklumpur,used support rafizi invoke but disappointment for chickening out for whatever reason may whereas anwar has been there thru thick thin since 1998 
badidea98,have been staying home since forever and have been doing online classes can’ the laboratory lab sessions and internship postponed all that sacrifice and the called “total lockdown” still show changes can’ stand more 
insanbiasajela,singapore pun buat rehearsal utk national day malaysia masih pkpd   
haziqfadilullah,lawan tetap lawan  
enon28,hidup dalam pandemik tapi pengemudi kelihatan sesat tak jumpa darat kami mahu arah tuju jelas plan menyeluruh mahukan kerajaan proactive bukan reactive cukup lah kami penat penat hidup dalam ketidaktentuan 
harriszainul,there 163 000 tweets containing according twitter trending way that the cops will probe everyone predicting they haul few leaders for questioning typical scare tactic silence the rakyat 
hfznhlmi,meremang boss 
aridn2304,apa yang sudah bagus patutnya dipertahankan namun ketika kes meroket san blunder pada pihak atas itulah masanya 
reneeamira,didnt know wearing all black all day errday could mean something powerful 
lightandgrace1,163k tweets lot guys 
__husni,need change and vanished these old incompetence our government 
mien_meyyo,jadi untuk hari ini mesej kita jelas buat mereka yang gagal dan tidak mewakili rakyat lagi iaitu mahiaddin muhyiddin letak jawatan parlimen dibuka tamat darurat 
rajaajaaa,tambah cadangan untuk musim darurat gaji ahli politik semua kasi biar dia rasa rakyat yang susah sekian terima kasih 
nurathrh___,hahahahahahaha anjai 
haziq389,let’ kita 
chimichangamf,bringing this back remind everyone that are being treated worse than dirt never fucking forget dgn 
ciritbir1t,they beginning feel threatened use the sedition act keep fighting back 
annieveeee,goated  
demokrasitotal,gagal cirit double standard mandulkan demokrasi bacul masih belum ada keabsahan bukan mandat rakyat tuntutan 
badrulhanif_,guna nie boleh 
sinamikaaa,folks are stupid just scroll the comments and see how they ridiculed and its because them pas lebai and assholes still roaming around freely and destroying the country fuckers 
sunshine2u1716,thank you ❤️ god bless you much 
vvigna46,never know broken chair will help our nation 
shafsyadza,accurate  
izzatjohana,bendera hitam sebab lawan kerajaan hati hitam sebab lawan tuhan 
nakalness,pray 
aimanaslamxxv,aku bagitahu siap siap korang jangan rasa syahdu sangat kalau pembangkang join selagimana dia ahli politik tak pernah aku rasa dia bersolidariti dengan rakyat 
demokrasitotal,tuntutan 
atasangin9545,this was india few months back and here are 
hazim_azami,belanjawan 2021 adalah bajet yang terbesar dalam sejarah malaysia tapi mana perginya 
ainaadhi,just curious btw against any individual that use their position bring further their political agendas but just don know for should iiumsu participate 
danielchng9,resignation prime minister muhyiddin immediately the convening parliament now the ending the emergency proclamation immediately raise your black flag together kita lawan 
blackk0k0,bersih dapat duit bila rusuhan rakyat sendiri take over bijak jaga sop and more lawan dekat socmed 
najeehaadam,the government nothing without the rakyat 
annyidris,rebel for good raise your  flag 
yankewong96,bad example crisis management instead fulfilling our demands you use police force intimidate tweet represents person you’ declaring war against 157k citizens people shouldn’ afraid their government government should afraid their people 
llariabae,mask kita  
syafiqyusofff,kiranya tdi all blacks tonga pkul tdi tanda solidariti all blacks utk kerajaan bangang
syedsaddiq,mengapa kamu tolong kongsikan 
maktiri_,paling mahal woo 
epiczuhdi,don stay where are lost 
themediaxpress,nasihat kpd ibu mengandung jauhi dari dadah dan arak sekiranya anda tidak mahu bayi anda membesar begini 
googeddit,almost black cat also solidarity with guyss  
merxnism,jijiklah bila tiba2 ada any politicians pembangkang gomen yang nak join kau pergi besarkan kote dengan tetek kau jelah bangsat geram aku
karmellhadi,panglima hitam hang jebat hang kasturi hang jatuh tangga mereka peduli apa 
h1ghrarea,enough enough let our small part solidarity 
v_vikneeswaran,latest update kerajaan dark mode  
nayieff,goosebumps always 
belinda77748195,kalau silap orang sama sokong bersih adalah org sama sokong harini org bersih tentang dulu adalah orang tentang harini kan cuma tukar brand 
kinatralalala,dgn bendera pun takut apa kena mengena pacak bendera dgn akta media dan komunikasi lagi kamu gertak lagi kami 
nrafqhnrdn,kerajaan cilaka 
maxwalden_,quite incredible see thousands protest posts the hashtags and black flag that have popped matter hours malaysia’ lockdown drags without clear end sight discontent clearly rising 
fausmichelle,profile pic says all 
twtbaobey,sebab kerajaan memang zalim  stay strong safe friends  
ashikinyusni,using garbage symbolic trash government 
ilmyxsa,malaysia prisons total capacity 830 they can jail all 
khairulraduan,korang nak diam ikut suka hati korang aku sampai 
khairizulfadhli,dengar kata polis nak tangkap orang kibar bendera hitam mana mari kita menanti jangan gentar terus lawan  
dnelsam,leave you phantom lead you the summer join the black parade  
lilbabysongbirb,they can siasat much they want keep fighting till bobo the fucking fool steps down  
ainaadhi,sebenarnya perlu iiumsu keluar statement pasal thought uni should stay neutral any opinion 
annieveeee,berani depa jawab tgh tgk berita jugak 
amnxfq,161k tweets 
chairmanglc,161k tweets about angry rakyat understatement 
shobz_again,because this not who are this not the government voted for this not how want live
shahirsakiru,kalau kena tangkap atau saman sebab bendera hitam kita pakai baju warna hitam tiap2 hari itu hak kita nak pakai baju warna apapun untuk harian takkan kena tangkap sebab baju harian warna hitam kosong 
arynarhman, solidariti utk rakyat malaysia
nuhaabubakar99,neutrality times injustice should never option talking about our security healthcare education children economy and good governance malaysia deserve better 
karamveeeeer,rise and rise again ✊ 
melgohcna,trending malaysia most parts selangor and some areas begin two weeks enhanced mco which means fight the malay language with almost 160 000 tweets 
vijay67984770,solidarity with brethren too black there are spots lights that give hope new tomorrow for now they are scattered 
antid_oto7,hitam adalah rasa terbungkam rakyat jelata rasa yang terkumpul dari tiap sakit dan sengsara dilemparkan oleh sang penguasa 
cheapremebrand,langkah terus 
unaeweasley,• julai • tuntutan  
moon1117river,ask netizens respectful even stated the law related well even you ministers are not lawful you asked stay silent and thinking that money the only way silent ’ telling you youre wrong that money all ours that paid unlawful leaders 
9dean,apabila usul ditolak tanpa ditimbang suara dibungkam kritik dilarang tanpa alasan dituduh subversif dan mengganggu keamanan maka hanya ada satu kata 1986 
ajipkasa,jgn putus asa 
meraazreene,mungkin kau rasa mereka semua alpa sampai satu masa mereka bersedia waktu itu kau sudah leka 
jarumpolitik,jaga negara sendiri sebelum menyibuk hal negara orang 
damnielllllllll,daripada adalah daripada kluster tempat kerja come kilang masih lagi dibenarkan beroperasi what the bullshit this 
elliyanayusri,malaysia dah pulihhhh oneday 
mohd_kns,helo when will our dear cuz rite now seeing lot trending
terlucknat,get stand 
shinryupark,the amount hate hold for this mother fucker government ☝️ 
holycannoli98,you wanna charge how many people can you charge ahead charge many you want people are not going remain silent 
hannanroslee,yes kita 
sagittariusyou,hope for better future and course competent government the future lead this nation done with this clownery government and their unprofessional actions they only brought malaysia the greatest downfall our health system already the brink 
karamveeeeer,datke mukabla karna ⚔️ 
kupudisini,track for tonight  
mbentitwo,dear lawyers law literate folks and could you kindly brief all the procedures should are probed the police need ready for some stupid dari sekarang
decentmvhd,paling function utk situation skrg  
hanaa_hn16,had enough deserve better 
shrhanum_,takde menyusahkan rakyat had enough you politician opressed our right voice out our voice hanya menyusahkan anak tekak politician yang tak sudah makan duit haram sampai cirit  
afsyahme, dengan permintaan kibarkan 
faraida_,guys don’ stop and always kibarkan 
zemiahnour,  ️️️️️️️️️️
anaeyln,for all the lies and the burden that they put all the times that they told just because gotta fight for our rights and the things love now 
hzwnysf,hahaha bodo betul haih lawan tetap lawannn 
meinmokhtar,juga 
donfitri65,adakah tindakan mereka yang benci bendera hitam akan menjurus arah sama seperti ini jika benar berlaku maka ingat lah kita semua siapa mereka sebenarnya sama2 kita nanti kan episode seterusnya wallahu aklam
ikhlasjohn,hidup kena sentiasa jadi pembangkang supaya kerajaan semasa tak selesa untuk buat hal siapa pun naik dan buat hal kita 
shanaliag,decided black shirt today even before saw what was trending  
anticytro,all together hoist the colors black heave thieves and beggars never shall die 
itsfaaaiz,kasi habis habisan  
sharirshazni,muhyiddin letak jawatan parlimen dibuka segera tamat darurat 
naven_selva,ini masih kerajaan gagal the darkest days malaysian history please take some action kita kena goyangkan mereka pergi tengok keadaan org tidur atas lantai 
cik_kk,juta vaksin akn smpai next week sembang apa meluat 
iambadrulamin,200k before 10pm 
aizatsh_,ada masih neutral 
iskandarputra_,baik shah alam 
jarniblakkarly,for every black flag flying across malaysia how many others support the cause 
kidinn,takde bendera hitam harapnya baju hitam pun jadi   
adlnmra,bila click banyak gila tengok apa yang orang suffer hanya kerana rasa lagi nak marah ffs kalau tahu tak layak lepaskan jawatan 
afifbee,boleh laa baru terjumpa idea nak cari plastik sampak 
teecheu,years ago wanted kleptocrats victory came may 2018 today want because many people have suffered victory will come soon 
belinda77748195,dengar kata aku kau orang baik tentang pendapat aku kau orang jahat lihat apa aku suruh kau lihat saje your opinion not valid againts 
decentmvhd,thank next  
_sammyolivia_,words just hashtags  
s3cr3tn1nj4,seronoknya cuti dekat luar naik  tunjuk kat orang harap ramai percaya kebaikan kita good rakyat akur jangan cik kalsom rumah corner sebelah ketua kampung  
abu_bars,kasi fight kaw kaw
cornyonicorn,hitam 
fydaaaaaaaa,this malaysia apa jangan terkejut lah kapitalis bangsat dimana mana  
yimingwuzere,black flag sending rabbit out 
zainddnzaiid,campak bawah bas  
saroki19,people japan usa donated vaccine going reject those donations refuse get vaccinated with they going protest they should just pray instead getting vaccinated per logic their leaders 
randyle32754101,pukimak punya kerajaan pui semua minister dalam malaysia bodoh macam babi langsung tak guna semua nak duit nak power lanciao you never get our respect 
zafranakmal_,member aku dah start tanya aku “patut tak aku catu makanan savings dah kurang” father jobless because this mad incompetency 
yuyunrosni,like give shit keep until and adhere the 
irmanhilmi1,bodoh bitter dan lalai kita mahu yang bijak pandai prihatin dan peka zaman politik ala feudal warlord dan kau tolong aku aku tolong kau dah tidak relevan 
qamarulazhari,aku bukak berita nak tengok kot ada feedback kerajaan pasal hare takdak pun jawab kerajaan hoi
elliyanayusri,mulai skrg aku akan pegang ayat orang tak rasa apa kita rasa sebab dia bingai cakap ikut sedap mulut korg kena faham sukan boleh buat emosi org sihat tak faham siapa suruh tak faham 
chrisoliviatan,yes old flat house 
nursalamahhhh,kan manusia ada nak dituju kata baik atau diam tapi kalau kena tindas mcm skrg kena tasa hahaha
adlnmra,takda naikkan bendera hitam pun harini tapi saya tetap 
jannahmsr,kasi tendang kerajaan sampah sekarang negara dah jadi huru hara pon still degil nak jadi orang atas 
imranovvv,hours and not single news outlet reporting this
ainibum_,patut letak 
syafiqsharum,yall mfs better talk abt this movement speak 
shrhanum_,there still some good officer with empathy and integrity polis dan masyarakat berpisah tiada  
ad_namz,when was high school 2015 2016 thought our biggest crisis was the haze recalled 2018 our biggest issue was pru how naive back then right now can just sit still and nothing what will happen the future  
deartomato,wow dah reached almost 160k tweets good job 
chenkjbae,this ain the perfect time for this 
aeizatism,rakyat bersatu polis tak perlu siasat intimidate ini suara rakyat biasa hak rakyat utk meluah rasa secara aman takde sapa hasut rakyat pun rakyat meluat sbb polisi tindak tanduk kerajaan tidak cekap 
llariabae,jangan berhenti selagi tak dapat apa kita nak 
shamsul__kamal,kalau bersenjata pisau mentega jangan harap kubu ditawan kalau gagal menerajui negara tunggu apa letak lah jawatan 
hilmi_izuddin,✊ 
hiccupersishere,satu aku mahu nyatakan bahawa kalian yakni kerajaan yang angkuh perlu mengaku bebal dan mula bertindak melunaskan tuntutan dan hutang kalian atau kalian terus menerus rasa terancam ketika rakyat mula turun jalan menuntut hak mereka 
vijay67984770,you wear mask for long you forget who you were beneath how many more must die before get plan counter the invisible enemy 
gakaruddin,politikus tak guna kerajaan mahupun pembangkang 
sufri_amirol,bangsat kerajaan 
silvrfury,haih saiz sabah boleh gabung semua negeri dibawah masih jga tiada kaki mau buat sop sendiri shameful sampai bila2 kena panggil negeri deposit politik semenanjung 
toxxxic7,freeeedomm step down give back our country and our liberty 
aliffhalil,solidaritas 
japkausapa,rakyat betul betul penat 
gadismaghribi,nate 
syuwaadot,all police officers yang berintegriti dan bersama dengan rakyat salute you 
aaishachan,negara berdemokrasi they said 
ef_hash,pembangkang lemah
rosacentifoliaa,rise above black flags 
listen2tomjones,buang timbalan menteri semua bukan ade faedah pon dah ade menteri darurat pulak gaji timbalan menteri buat bantuan tunai pada rakyat lebih baik 
dylvnx, enough enough the rakyat had enough 
pishb0l_,step down now enough enough rasa macam dipimpin dajjal sudah sudah lah amek duit rakyat step down dan enjoy lah dengan duit tamak korang 
elliyanayusri,dia nak tunggu family dia kena baru bertindak luar biasa 
rohaniahnoor,yang cirit sila berehat stop darurat tamatkan lockdown yang gagal 
aliffharoon92,padu jimbe 
mudacheras,mengibarkan bendera hitam pada julai 2021 sabtu dihadapan rumah kedai jalan atau tempat tempat lain yang sesuai ambil gambar dan hantarkan media sosial anda secara serentak pada jam petang gunakan tanda pagar pada setiap hantaran anda 
veenajbj,rrr rakyat  rise revolt roar our demands  •resignation prime minister muhyiddin yassin •the convening parliament •the ending emergency proclamation raise your black flag together will combat this 
ceksuhairi,perfect day for 
khalidazmi_,marilah kawan mari kita nyanyikan sebuah lagu tentang pembebasan 
ef_hash,darurat bodoh
corporateslaver,kibarkan bendera hitam tak susahkan rakyat yang susahkan rakyat ahli politik macam kau 
ayssz,never too late solidarity with 
akbakidin,dan 
sykrzck,the probe only proves that theres substance the campaign mean ’ black flag why ’ gaggin much why shakin boots hope one day you police realize that you are suppose serve protect the people not your corrupt leader 
hellohumaira,lupa 
shaalovett,teacher will fight for this this right and will fight and anything make education system better stop suspending kids from school provide better system 
khairi_sc,rasa tak lama lagi akan ada artikel kata dan lain2 haram hukumnya 
lope1985,yes your whole useless cabinet 
con7verse,you’ not competent enough 
_honeykhaii,the government has failed one too many times and your incompetency has killed thousands millions are left starving and unemployed you have the tiniest bit dignity left step down 
mathubalan, veliye jaooooooooo 
admliks,friend and say “kempen busuk wkwkwkwk sebabtu hitam ” 
amirulsyfq_,new government  
athenaxandrite,habis lah tudung hitam para isteri kena tibai dengan suami jadi bendera untuk menyahut seruan takpe boleh claim tudung mahal ratus ratus lepas 
syazlinaiza,good know this semoga betul laaa semoga semakin laju dan lajuuuu semoga semua dapat panggilan vaksin dengan kadar segera diri sendiri and stiiiiiill… dont want you guys 
nr_ilama,got inspire ‍♀️ since ’ doing art atm why not add the flag 
minimeleis,just passed 150k ✊
asyrafasy,153k lap ayaq mata 
epppp_,one should bed hungry and hopeless 
imranhrrs,country’ population average poor classes and most them are suffering get food since the price everything has skyrocketed must fight for true malaysia 
saroki19,masih cirit birit senyap tiada update status dari pmo bagilah update yah
shaalovett,why education system because our malaysian kids are getting suspended from school due pandemic plenty parents couldn’ afford get internet gadgets did they asked for the government should never this the government been and has ruin many kids life 
belinda77748195,happy hear that dah xde cara lain selain vaksin masa dibeli pun mampu relakskan hospital jalan keluarnya need get out fast run out time money energy patient 
johanshahar,fact bersatu pas umno gps mca mic pbs star some independents keep alive fact ge15 can only happen after covid some those mps need cross over which one 
uwaisamirul,pasang bendera pun goyang 
annieveeee,tema paling popular utk hashtag setakat kucing hitam tudung bini warna hitam kain hitam spender stokin pun masuk skali bendera strawhat
idysaha,rakyat the real power 
panjiadil,dah kibarkan kibarkan bendera hitam 
fralonelrainger,takde bendera hitam ada tshirt hitam jee  
thatgoofyguy,done pergi beli groceries pakai serba hitam 
vanimaniam,trending together with black flag
myrlazwn,mental exhausted kalau asik kene kurung  
tosriamin,aiksss takkan setakat naik pun dah rasa tergugat dengan bersikap positif 
cheapremebrand,special request mak dan anak pakai baju sama premium edition 
syfq212,riot kat social media pun goyang banyak salah  
farahiyahalia, feel like this should not one day thing should keep raising the black flag until the demands are being met deserve better than this don want dream about leaving this country for better future want stay and fight 
sick666sick,lupa hashtag pulak tadi 
naimdanielx,kepada yang masih merasa selesa dan meminta untuk bersangka baik dengan pemerintah yang zalim bertanggungjawab jugalah kalian dalam menjahanamkan tanah air sendiri 
mdnfls,hari temlen penuh dengan  
dnieshanaffi,sebagai tanda rakyat akan kerajaan sampai 
introvertuality,wow masih mengungguli carta trending malaysia selepas berjam jam
annahaniss,lupa update tdi ptg‍☠️ 
aishhazmn,let’ not bother fear those who insult rakyat’ wisdom and wrath pdrm can choked 
ainaizzati__,rakyat sudah penat malaysia sudah tenat rakyat malaysia kita 
serinatheunwise,fire the outcome hypocrisy darkest potency the exit humanity colour our world blackened blackened 
qibbs96,ohh haii apa khabar semua 
nurulshima14,day 164 all about  matter how tricky the situation needs happen sooner later ⏰
aydxxn,org penang selalu duk rasa makanan negeri depa paling sedap terus terang aku ckp kedai nasi kandar mamak penang semua kotor aku sbgai org rasa geli jsks
ammvangelist,belum habis lagikan kita punya 
norimanshuhaim1,lepas menulis tentang like semua berkaitan lawan aku beli barang dapur banyak ini dah rm200 aku cadangkan buat satu cadangan untuk mengawal harga barang jangan lah jadi pembangkang lemah 
ruzainirosli,sudah dan cukuplah tan sri kami rakyat malaysia mahukan tan sri untuk meletak jawatan dengan kadar segera 
syaleezaaizan,love the topic trending malaysia 
etherealjunhoee,’ doing small part solidarity with july demands • resign • reconvene the parliament • end emergency order enough with this incompetent government 
evintweets,assuming that malaysians are twitter the hashtag count alone paints dire picture for the current government 
ziymiziym,this dumb government beyond pathetic 1312 
unicornpooooop,deserve better more deserve heard deserve treated fairly deserve choose our leaders 
hilmidinie,dulu geng plastik hitam sekarang geng bendera hitam 
hvfmvr,kita  solidariti bersama rakyat  
ahmadnazirjoe,late the party but tetap 
hazim_azami,rakyat boleh pilih kerajaan kerajaan tak boleh pilih rakyat 
annesasophylea,apa beza pkp pkpd pkpb pkpp ppn fasa ppn fasa apa banyak sangat  
ahbeng24265193,fight for justice 
adihazim32,ayuh kita 
jeraldvalentine,kami 
howimet21216704,for our younger children 
syazlinaiza,harap2 scroll twitter harini hehehehehhehehehe  
v3n0mv7,tumpuan takde atau 
zizol95,pagi nanti ukraine england
badboy2662,200k midnite sebelum kickoff ✊
ainninngg,and for second you thinking that they are treating fairly you are lying yourself katniss everdeen 
heyqids,bro wear black solidarity with 
khairi_sc,wondering agong agak2 baca tak twitter 
farisalias07,meh aku share gambar baru aku tinggikan lagi tiang bendera esok tidur lokap gamaknye kite semue 
h_bakkaniy,ada nampak pelajar kita jordan angkat juga hari yang mesir tak ada yang nak belanja gambar dari sana mesti ada kan yang sama sama 
howimet21216704,great job guys for better malaysia 
chimichangamf,maybe had ended another number the statistics dad would cared little more about this reminder not like him don wait until you lose the person next you don wait until too late 
mohd_kns,takkan tgu smpai rakyat bunuh diri gate pjabat putrajaya mne tahu jnis pkir worst case scenario 
v3n0mv7,dia mimpi tuuu 
harrizzzzzz,fuck goverment 
jesteroutsider,wary other politicians jumping the bandwagon and claiming they can solve the problem only they had power this lie one knows how solve man government the only thing ask for these people not make things worse 
muhdxaiman,saya selaku wakil persatuan kucing malaysia ingin bersolidariti bagi pihak kucing jalanan malaysia  
mytheorem,can you hear the sound singing dan 
_oodell,the people for the people 
khairi_sc,support 
badboy2662,never forget our friends who died never forget our families who died never forget what the govt did never forget what the govt failed never forget never forgive ✊ 
maxwalden_,police investigating “sedition” after malaysians have taken social media posting black flag emojis and the hashtag resist call upon the unelected resign for parliament sit and for the country’ state emergency end
howimet21216704,awesome 
annieveeee,esok masih ada long live rakyat ✊  
sychside,okr 
shaffawieroslan,our demands resignation prime minister muhyiddin the convening parliament the ending the emergency proclamation raise your black flag together kita lawan  
arwithutarid,book flags 
polinesiabulan,sama awan hitam jugak tadi sini alam pun memahami rakyat 
blackk0k0,yes 
politikod,you just dont know what happening malaysia uncle pet the worst unprecedented our country post independence history people starving for food begging with white flags outside the house thanks for shutting down abruptly malaysian economy 
thekampungirl,biarlah kita buat apa yang termampu untuk bersuara supaya mereka tahu apa yang kita rasa 
mohd_kns,smpai lebam
msamalinamzain,untung rakyat hanya libatkan bendera hitam bukan turun berdemo jalanan sebab apa tak turun sebab rakyat masih ada akal untuk berfikir dan kesian pada para frontliners kalau tak dah lama dah turun berdemo 
firash_adryann,since and trending just want know malaysians how close are something like this 
frhyn_,anyway  
huzaidharis,support and kita jangan biar suara rakyat diendahkan
mytheorem,jangan sampai sampai gate parlimen 
jierahrsli,aku takyah tukar dah black dah 
eddyzapel,jangan berhenti selagi din belum letak jawatan 
stabistabi,power the people ✊ solidarity with sila letak jawatan 
drsyarizan,kes menteri langgar sop pergi luar negara takda nak siasat angkat bendera hitam terus nak siasat prime minister malaysia mahiaddin yassin please resign 
pelaripicisan,statement nak sedapkah hati diri sendiri sbnarnya 
syahredzan,when trended captured 120 000 although some have said that reached 150 000 has officially breached that mark 
yunyeon207,now feel thai myanmar hkers 
fakhrisamsudin,sial angkat bendera pun kau nak tangkap kau tunggu kitaorg turun jalanraya nanti pukimak sial 
shafkass,orange like the nicest guy know angry you you really did him wrong 
iqieiei,tak ada gambar harini tapi tetap kita 
hzakwan_,lebih baik daripada diam 
kir_wasabi,sad see that are not allowed show our dissatisfaction towards the malaysian government didn’ know would come this day where expressing basic human emotion would crime “bersatu kita teguh becerai kita roboh” they can’ out number 
roxstapam,did laundry today and realised they were mostly black guess even laundry saying smtg 
whiteflower11_,malaysians keep fighting 
maisarahaniff,this all because you punya political stupid shit you all owe blood all malaysian you all owe everyone 
moviinnn,let the pictures speak 
ohhaneeq,nasib baik aku ada life sikit lah boleh lah kalau tak mmg berbakul aku hamun menteri menteri poyo semua nii disgusting 
neddokhan,kami berkabung untuk jiwa yang pergi kami bergabung untuk suara yang mati 
tul4ng,kalau begitu sampai kiamat persatuan pelajar tiada fungsi dalam masyarakat tetap 
afafasyrafaor,now with sounds 
frdsrdzmy,takde siapa nak buat baju 
syafics,inspired hong kong protest flags 
joshuatehdvm,fear the strongest weapon tyranny but hope the biggest fear tyrant 
nrnblhtuah,art berat kita support  
sikmakyam,orang jelah member post dekat instagram yang beriya maki goverment takde pulak 
syahredzan,150 000 tweets 100 tweets pun trending 
ajeloin13,least tak semuanya gelap  have faith malaysia 
annieveeee,how menyusahkan rakyat rata2nya semua berkurung cant see the pic was taken from inside the house where brain clown  
imnnaimz,orang2 tua politik malaysia sungguh tak belajar dari pru lepas mata rakyat melihat perangai2 haram jadah anda dan dibuktikan dengan kekalahan teruk kalian tapi masih bongkak dengan kuasa hasil rampasan haram 
georgeclason2,bendera hitam
syuqrul,penangan harini aku tidur mimpi jadi wingman azmin ali sial kuat betul sumpahan dia kat rakyat lawan dia ahhahahahaha
izzulirsydd,idk maybe this will one the most dark history about malaysia 
jeffryazli,✨
sueannajoe_,case anyone wants use this for their profile display photo 
humanity79,first wave social media war second wave riot 
whiteflower11_,dah achieve 150k tweet for make guys  
madriabdullah,kita tengok kes anak babi kenduri durian kes settle dulu and here’ stand 
umarfaruq_md,org jitra mmg mantap bro 
zrfruslann,has start somewhere has start sometime what better place than here what better time than now @ putrajaya wilayah persekutuan malaysia 
whyasmeeta, without fear favour 
kiddodanial,you and your whole cabinet should resign tktahu malu langsung people like you 
thekampungirl,aku rasa banyak tudung hitam pinjam satu buat bendera camni  
mawarkhayallan,cukup lah kesabaran rakyat semakin tercabar 
mytheorem,shit ada yang turun jaaln sorang2 
mattnausky,kayuh sunset beli air coke kedai acheh sambil 
annieveeee,150k let’ hit 200k ‍♀️ 
abuhafiz1,pdrm dah selesai siasat timbalan speaker dewan rakyat sebelum nak siasat kempen bendera hitam kes menteri wilayah langgar sop pkp tutup dah atau senyap atau sekadar wayang 
najwakhatidin,bila rakyat lagi pandai 
husna_hamran,dah dah jom solat maghrib jom kita doakan malaysia 
luckeshwaran,for 
lope1985,itu shj kerja lebai tunggang agama kerja hampeh hasil tak nampak kecuali tambah harta bini makin angkuh bongkak 
ammar_azzam90,atleast tak semuanya gelap 
happyj521,save malaysia
jarniblakkarly,far too many people waving the for malaysian cops probe them all going backfire like the yellow shirt banning 
hafizbedui,“tidak minggu ini minggu depan tidak bulan ini bulan depan tidak tahun ini tahun depan lawan tetap lawan ” 
kiridaren,lawan  tuntutan perdana menteri mahiaddin letak jawatan parlimen bersidang tamatkan perisytiharan darurat keluarkan ahli politik yang teruk dari semua parti kerajaan dan pembangkang 
ilovecrocodile,late for the party but tetap 
shobana257,hahhahhahha 100 
queermalaysia,come use that highest cyber bully rate title good use let keyboard warrior the parliament submission 
mytheorem,hari sudah berakhir tapi bukan untuk dan 
nasrulsyahmi,kita bukan anjing untuk korupsi kita bukan macai untuk jadi penjilat cirit 
agussalimadam,parlimen titiwangsa 119 hadir kawasan ahli parlimen merangkap menteri gagal didalam 
rubenraajrajan,statement against the injustice enough enough 
aimanaslamxxv,come gaiss kita boleh gulingkan najib apa sangat 
shazghaf,nama sama tak pernah tahu pun kewujudan timb menteri sedap kot makan gaji buta ketika rakyat tengah susah   
afiqfarhan_11,kenapalah takde emoji bendera pas aku nak pakai yang baru epik  
z0mbiecaat,kami bangkit  
yayazu1kifli,parents kakak aku adik 
faeiz_ilham,masih sempatkan 
shafkass,weekends are for sanitizing the community but can make time for 
lostnaadodi,   this not the govt that was voted for this the failure whole system 
pinenutter,was talking mum machang haven’ heard peep from local authorities for any kind assistance she said one lady was eating biskut for days kusial till somebody help pas shit 
gerakmalaysia, andaiku malaikat kupotong sayapku dan rasakan perih dunia bersamamu perang kan berakhir cinta kan abadi tanah anarki romansa terjadi 
