username,tweet
irmizwan,pkp pkpb pkpd dan segala varian pkp bukannya dpt turunkan kes covid pun hanya menambahkan kesusahan rakyat marhaen dan double standard 
mozution,when they say they want beri peluang for anak muda yelah anak muda anak dato anak tan sri anak anak ceo anak ketua bahagian anak ketua cawangan anak itu anak ini asalkan muda anak muda marhaen boleh sambung buat foodpanda grab terima kasih 
solehudinrosman,aku joint gak dah alang2 subuh 
dzarif_arifin,tribute 
yoyoshar,kalau tak boleh guna tudung bawal hitam gantung kat rumah apa lagi kita boleh buat like seriously 
adrianflude,every country suffering the effects thread  hope tale compassion act not surrender 
sauficoupy,yat rakyat dgn masa depan yang gelap bendera putih dikibar untuk cari sinar harapan bantuan orang lain sampai kat politician2 bangsat dikatanya propa semata mata 
hazwan_puzi,bendera ahh biasa aku bagi kucing hitam 
badrimarcello1,bendera hitam not just flag beginning movement fighting for the rakyat claimback malaysia doing small part this solidarity tired tired with this gov 
azwanrizani,netizen dah buat kerja mampus kau nak menjawab nak putar apa lagi kat dunia boleh kona sana sini kat akhirat nanti lagi jenuh kau nak menjawab dasar sialan 
wafiealaziz,          
8urn88q,kelakarlah nih dulu takut warna kuning belon kuning baju dlm kuning alphard kuning smua kuning  skrg warna  velfire hitam membalak tak takut pulak  
ammaraffandi96,fuck off the new world order❌ need the new revolution freedom the future 
raihanmahadi,maaf tertinggal train aku pun dah penat dgn pak menteri ber huhu haha 
zhenyang_low,got goosebumps seeing this 
grieffinn,smol perlis anyway fuck the government 
joonbabe47,joon has better leadership compared all the malaysian ministers 
mozution,wear black everyday since 2017 does that mean part 
diskusiborneo,why need fight ensure vacination program that being spend huge public fund being more effective especially around sarawak sabah diskusi borneo team also glad support fast vacination program among other state malaysia 
sachwir,only nayak bolly movie was doable 
ariffateed1,lawa tetap lawan 
_ibro_my_,black flag rises 
penerangrakyat,pinjam kalam pembangkang ini lahir jalanraya tak takut kena pukul sembur tahan seksa kalau bergaduh hatta bertumbuk pun itu biasa jgn sekali kali tuduh mereka takut turun jalanan demo tok kenal barey boh 
mimiuwww,nak angkut berapa ramai orang polis careful 
tiaraau54619491,kelakar tak buat kerja sop pkpd lebih ketat drpd total lockdown fmco spp 
mackillah,black flag war  
diskusiborneo,wonder join all twitterian fight this uneffective government disclaimer art work not produce diskusi borneo team 
annieveeee,hadir  
_rodahidup,siapa saya jalan keluar hanyalah vaksin bukan political murahan mane janji 
ayiefrz,saya kerana kerajaan yang tidak telus dan gagal dalam menangani kenaikan kes covid malaysia double standard pendidikan kebajikan pelajar‐pelajar malaysia jawatan tinggi kerajaan diberikan kepada ahli keluarga menteri yang tidak layak utk memegangnya
2ndrandomizr,and they wonder why hang sick and tired news like this because they know they can get away with and all can 
ibnujang,setiap tahun tukar kerajaan kerajaan buat hal kita maki pembangkang naik jadi kerajaan kalau sama bangang kita tukar lagi tukar sampai abg jamil mampus biar orang politik yang tinggal hanya yang ingin bekerja untuk rakyat bukannya menghabiskan duit rakyat demi keturunan 
yahallufarah,mereka mereka mungkin bercanggah dengan aku tapi aku rasa sedikit shaking bila baca ruangan komen post hafeez mikail untuk  
ibnujang,kita perlu normalised kan tukar kerajaan biar ahli politik tau kedudukan mereka takkan selamat kalau tak memang kena kencing bhai muhyiddin anjing pegang kejap pun dah hancing dah 
yoursy4f,pergi kedai membeli cincau korang sambungla 
jhun_kheng,younger generation not wanna see country land called home suffer dont wanna see fellow malaysians starve die many life has been taken already and cant lose more enough enough 
salehudin_sdb,quote july 
haziqikhsan,saya ingin lihat semua ini berakhir pramoedya ananta toer 
xunlingau,that was fast nice one 
abience00,agak agak apa lah pdf muhyidin esok kan 
_omgitsjack,38am and extremely  and also biggest fuck you our beloved 
mta_museum,stands with malaysia  our cover tweet for while —— follow support 
kamalsuriaa,preach 
akyukoz,but still the government chose deaf and blind speak about nothing but secure their positions corrupting every cent they can lay their hands power abuse securing capitalists double standard munafik stealing and undeniably killing people 
mackillah,black flag nothing left inside 
larasatifputri,lagu tema 
yuvanraj_27,for those who need for pets for kerajaaan gagal 
onerockfather_,kau buang lah dengan bendera hitam kau 
syafiqarif3yung,get well soon malaysia  are you seeing this you dumb ass shit 
an_afdhal,was here 
hidayahsamdin,apparently ’ late but who said ’ gonna stop ’ just start
ismerahh,baru naik black flag dah goyang choiiiii nyah kahkah 
zul_arief,muak dan mual 
mhffz_,kesian orang malaysia selain kena covid19 kita jugak kena lawan politikus bodoh dan kemunculan agamawan jadian 
yanameera,mohon izin guna gambar 
blvckbvnny,serious penat nak jawab banyak sangat sebab kami 
omni0ne,sketch character from conan exiles waving 
wafiealaziz,         
_mirahman,bit late but here 
natasyakass,maleh nak ulas issue politic kat acc public just tweet about secara gila babi kat private account issue sangat sensitive malas nak jumpa orang orang yang bitter tapi apa apa pun kita 
endabyu_,steady  aci come 
nshfnoh,spreading this thread need strategic measures haven’ they learnt the past year have covid 
bbbbppp_,malaysia needs change 
wafiealaziz,                 
rafhantsui,lawan  
mad_mt,salam tuan saya harap pihat tuan boleh siasat kes dulu sebelum siasat kempen rakyat untuk makluman tuan saya menaip tweet ini sambil tangan kiri saya mengibar bendera hitam 
razinasyraf3,semoga tak semuanya selalu gelap  
isjwbckh,pls people are sick you just resign
ohjenal,kempen bendera hitam takde kacau orang awam tak langgar sop covid tak buat perhimpunan lagikan rusuhan but kenapa nak siasat kempen takde gugat mana mana pihak pun kecuali kerajaan yang gagal 
niaga24jam,ramai lagi yang perlu disedarkan 
wafiealaziz,              
8urn88q,come wit now  credit ratm bullsonparade rindu gig2 zaman nih 
diane_dcruz13,don try silence will only get louder
niaga24jam,maknanya masej telah sampai pasti menang 
annieveeee,jeng jeng jeng 
syfiqzck_,aku punya story ada kena remove hahahaha mula mula kena shadow banned lepastu hilang terus 
