nuru1ain_,@SyedSaddiq Penat dengan Azmin.
_lemondah,"@SyedSaddiq Sebab kecewa orang yg berkuasa tapi sekadar memonopoli. kami didedahkan yg generasi muda bakal memerintah negara tapi bila peluang diminta, buah fikiran disuara, yang sepatutnya menelaah tiba tiba buta. Malaysia masih boleh diselamatkan, dan memang pernah terselamat tp sekarang?"
rumpedtrogon,@SyedSaddiq Gross incompetence.   Double standard.  No leadership.  Kaki belit.  Menipu.  Tua tapi bodoh.
bangmuehhh,"@SyedSaddiq Dah penat terlampau penat, rakyat patuh sop sungguh2 tapi depa duk kesana sini fun2 tak kena tindakan apa2. Pastu kes tak turun2"
asyrafmiswan,@SyedSaddiq Pemuda tertekan. Ramai anak muda yang mempunyai business strugle nk bayar staff nak bayar sewa. Rakyat keliru dgn kenyataan yg dikeluarkan.
alrashidzulkefl,"@SyedSaddiq Sudah 5 hari berlalu. SOP negeri Sabah(@KKCity) sepatutnya dikemaskini/umum sebelum 28/6 masih tiada perkembangan terbaharu.  Bayangkan, seorang GM mall hubungi saya bertanya; “kita di Sabah business hour pukul 10pm or 7pm?”  #Lawan Incompetent governance! CM kana pisit biji!  https://t.co/THk8YgCFMY"
tiiiiiiiimothy,"@SyedSaddiq saya dah penat dengan sikap sesetengah pihak kerajaan yang masih ada sikap double standard, dan pihak atasan yang senang lepas dari semua benda. Tak masuk lagi students yang ada masalah ODL, tiada akses internet, phone semua. banyak lagi 😭"
arieftweets,@SyedSaddiq Baik lagi mati berdiri dan melawan dari mati ditindas!
arcmarputra,"@SyedSaddiq sebab masa depan dah tak nampak, mampukah kita kembali seperti dulu?"
eyuawesome,"@SyedSaddiq Kenapa terang2 ada penipuan rasuah, double standard, corruption, pastu naik pangkat guna orang dalam, menteri langgar SOP tapi takde tindakan?"
xrifin_,"@SyedSaddiq Semua org terkesan, tapi bukan semua org berkorban. Separuh industri ditutup, tapi kilang semua buka. Vaksin yg lembab. “Bantuan” dari tabung bersara. Saman yg merata pada org yg memberi bantuan dan yg menerima bantuan. Terlalu lama dipijak sampai kami dah lali. Tolong kami, pls."
