nuru1ain_,@SyedSaddiq Penat dengan Azmin.
shanaliag,@SyedSaddiq I've enrolled for the 💉 since Feb &amp; yet to be scheduled a date. The lockdown is driving me crazy. The ones seated in high places still get to fly out of the country and enjoy life like there isn't a pandemic going on. The plight of people suffering and the rise of suicide cases!
kaikai_ze,@SyedSaddiq Muak. Penat. #Lawan  🏴🏴🏴
anarch010gy,@SyedSaddiq @BN4everTN5O How bout keeping politicians away from our lives?
xhmxdfxiri,"@SyedSaddiq Because we had enough. Ini bukan soal bagi peluang ke apa, we sacrifice like everything, almost 2 years.   Lampin kalau penuh tahi, kita tukar atau kita biar &amp; hadap? You choose."
neshhhk,@SyedSaddiq We're tired. We're exhausted. We're fucked to another level. Thousands of people died and dying. Incompetent government. Abusing law. Stucked in a loophole with so this so called 'lockdown'. No exit strategy for Covid-19.  DEPRESSED.   #MuhyiddinLetakJawatan #LAWAN #KerajaanGagal
_qolifahh,@SyedSaddiq Sebab saya nak cari kerajaan yang boleh mudah kan uruskan permohonan kad pengenalan saya. Dua kerajaan slow dalam uruskan hal ni. So kerajaan  mana yg laju? . Suggestion please.. Eh tapi saya takde IC so saya tak boleh la undi kerajaan memana kan hahahaha. Fair kan?
dhalias_,@SyedSaddiq Dulu pernah menang dgn 0 Kes tapi sbb Pru tah pape aritu naik kepada 7K kes sekarang 🤷🏻‍♂️....tanpa rasa bersalah pakcik menteri tu siap mkn durian kat dusun sambil hisap rokok john di tgn 🤦‍♂️
luckeshwaran,@SyedSaddiq Hello sir im a final year student i have enough staying in home its very hard for college students to be in online classes and its hard to find an internship in this pandemic if i got an placement i will be travelling in public transport  with this pkp its suffering #Lawan
se_lancelot,@SyedSaddiq So that no one will share my experience   https://t.co/xJUdm25ysq
hanathesith,"@SyedSaddiq Sebab ramai yang susah disebabkan diorang.   Sesiapa yang nak join hands membantu mereka ni boleh dm i.   Total ada 80 orang submit dalam masa 5 hari. Ada balance 15 lagi belum dibantu (semenanjung)  Sabah sarawak, 6 (kiv)  Seorang perlukan bantuan laptop (pun kami kiv dulu)  https://t.co/Di0M1PIv0m"
enhk79,@SyedSaddiq kerajaan tak perihatin kepada nasib rakyat yang hilang kerja akibat penutupan sektor terlalu lama. Double standard antara kayangan dan rakyat kasta bawahan. adanya muka menteri yang tak malu dah buat salah tak nak letak jawatan malah tak mengaku salah...
adoredaus,@SyedSaddiq kerajaan corrupt
abdullahsazili,"@SyedSaddiq Nepotism, kleptocracy, corruption."
ehayingg,@SyedSaddiq Sebab everyday menteri bodoh makin tak pakai otak bila bagi statement dan cirit. Tq
leppojaa27,"@SyedSaddiq Kerana pengorbanan rakyat tidak dipandang, diorang sanggup memperjudikan nyawa rakyat..."
elennammr,"@SyedSaddiq penat YB, saya dah 1 1/2 tahun tak ada gaji..business kejap ok kejap tak ok. Kejap tutup kejap buka. sales ok PKP balik. Penat kena pergi bank minta moratorium. Penat nak jawab telefon bank. Penat nak berlakon delan anak2 that we are OK. Penat dah YB penat."
ridhwan_razak,"@SyedSaddiq #Lawan sebab penat lah tengok kerajaan tak kompeten dan tidak cekap macam ni, pak menteri fikir poket sendiri manakala rakyat ade yang mati sebab covid, mati sebab bunuh diri"
harrithshaz,"@SyedSaddiq Walaupun diugut oleh kuasa &amp; authoriti untuk berpaling muka, memejam mata,  menutup telinga &amp; membisu terhadap segala salah laku mereka, mereka tidak akan menutup hati saya yang berpegang teguh kepada prinsip. Saya #lawan demi menyelamatkan negara tercinta ini dari terus dinodai."
daryideanna,"@SyedSaddiq Sebab @MuhyiddinYassin korup, kerajaan PN didiri dengan scheme of things, jawatan dijual beli untuk sokongan, dan yg lebih teruk semua ni jadi depan mata rakyat &amp; kita tak boleh buat apa apa."
zaakirgaffar,"@SyedSaddiq 1. Kami mahu demokrasi berparlimen dilaksanakan 2. Kami tidak mahu double standard &amp; menteri dilindungi, law must be applicable to all 3. Rakyat mengalami kesusahan yang dahsyat tapi tiada empathy dari MP atau pemimpin 4. Pelan pemulihan dengan keutamaan kebajikan rakyat"
mambattiyaan,@SyedSaddiq  https://t.co/sULqwUrMFz
pangeran_tweets,@SyedSaddiq Kita #Lawan pasti kan Unta Tua Saka Tua tiada tempat di PH
namasayaeny,@SyedSaddiq Buka parlimen. Bincangkan secara muafakat utk cari solusi yg tepat. Mohon ketengahkan suara rakyat. Penat dah nk baca/tunggu pengumuman demi pengumuman yg tiada penghujung.
e_drysdale_h,@SyedSaddiq I just hate @MuhyiddinYassin and the whole PN government. That's all. I just want to see them fall
eshaerinz,"@SyedSaddiq sbb gov hari ini hanya thu bercakap shj, proses tiada"
________hafiz,"@SyedSaddiq Kita tak #lawan kerajaan yang bijak tangani wabak. Kita tak #lawan kerajaan yang faham bezakan keperluan dengan kehendak sewaktu pandemik. Tapi kita wajib #lawan bila tampuk kerajaan dipegang manusia BODOH, SOMBONG, dan PENTINGKAN POKET MASING². #KerajaanBangsat"
yapkoogene,@SyedSaddiq Because Malaysia
neshhhk,"@SyedSaddiq Students are being neglected by the government. IPT and even school students. We gave up online classes. We're tired. We're burning out mentally and emotionally every day and night.   While other countries are going forward already, we're still stucked in this pandemic. I'M DONE"
syznali_,@SyedSaddiq Double standard. Arahan sentiasa bertukar. Banyak kes dari kilang tapi PKPD LEMBAH KLANG. Moga pihak menteri nanti ada jawapan di padang mahsyar untuk itu. Sekian dari saya yang dah penat dengan agenda kotor orang atasan.
unknownlaaaaaaa,@SyedSaddiq sbb kerjaan dh sngt2 melampau.. pemimpin yng zalim dn menyusahkn rakyatnya.....dah lame sngt2 duduk rumah smpai mental koyak terok.. macam2 lg la rse...xsnggup nk tngok orng2 menderita d akibatkn kerajaan bodoh... xsnggup nk hidup dlm negara yng dipimpin oleh orng bodoh
al_eesya,"@SyedSaddiq 6 bulan yang sia-sia 6 bulan juga aku tak balik jejak rumah salam tangan mak ayah 6 bulan aku duduk rumah, WFH 6 bulan juga bermacam-macam kawalan pergerakan dibuat, kes tetap 6k keatas.  6 bulan rakyat menderita 6 bulan, pemimpin masih bodoh.  #LAWAN"
lisaster_,"@SyedSaddiq i believe semua rakyat penat. it feels like a never ending cycle that just goes on and on and we’re just pawns. as if rakyat malaysia are just numbers, the cases &amp; deaths are just numbers. we’re all so so tired."
naresheeswaran,@SyedSaddiq Because my livelihood has been snatched away.
zamirzamri_,@SyedSaddiq  https://t.co/b807AcXfaj
shamaineothman,@SyedSaddiq because i didn't vote for thieves and hoodlums to govern this country. #LAWAN
frhtndzmi,@SyedSaddiq Sebab saya penat tengok ayah saya struggle cari duit time pkp ni. Punca menteri babi
napnapiee,@SyedSaddiq Banyak sangat badut yang memerintah. Dan jenaka yang diorang buat tu melibatkan nyawa rakyat. Punchline jenis apa tu?
asyrants,@SyedSaddiq Saya ni masih muda.  saya taknak masa depan saya hancur.   Saya taknak hidup dalam negara yang tak terurus.  Saya taknak orang korup dan incompetent tadbir negara.  Saya taknak terpaksa berpindah ke negara lain sebab saya sayang negara saya.  🏴🇲🇾
neshhhk,@SyedSaddiq WE NEED A PROPER EXIT STRATEGY FROM THIS COVID-19 PANDEMIC. SAVE US.   We are suppose to win this pandemic long time ago and guess what the government fcked us up. AND ALL THEY DO IS BLAME THE RAKYAT.  #LAWAN #KerajaanGagal #MuhyiddinLetakJawatan
perikatannajib,@SyedSaddiq Double standard  Demokrasi mati  Darurat tak function  Mahiaddin tak dpt control menteri2  Mahiaddin punca 2nd wave  Mahiaddin tiada majoriti (pelabur tak masuk)  Parlimen tutup (suara rakyat tak sampai)  Azmin bodoh  Vaksin lambat  Menteri2 incompetent
syknxx,"@SyedSaddiq The country is not even doing the bare minimum, (fulfilling rakyat’s basic needs and acting on science and logic) sbb tu kita lawan.   Double standard lagi just make people piss off when we are the one suffering badly this pandemic."
iamcrazycowbear,"@SyedSaddiq kami lawan utk diri kami sendiri utk bela nasib kami sendiri...nyawa kami yg dipandang bagaikan tiada harga tiada arti oleh golongan menteri (baik kerajaan &amp; pembangkang)  Saya penat, takut akan keselamatan diri sendiri, ahli keluarga, sahabat &amp; rkyat malaysia drpd virus ini"
wafiahe,@SyedSaddiq sebab saya nak spm
arenadzz,@SyedSaddiq Menyampah. Meluat. Penat.
ysminnnx,"@SyedSaddiq As a student, i want my right back. Penat yb belajar online Allah je tahu. Alhamdulillah kalau kemudahan semua ada, bayangkan yg cthnya Internet terbatas.. Allahu. Kami perlu belajar balik dalam keadaan sediakala &amp; ada kementerian pelajaran yg betul betul bertanggungjawab"
fearnoone2020,@SyedSaddiq They bloody stole our mandate…
frskyn,@SyedSaddiq Sick and tired of watching the same faces forming the Cabinet for decades!!! They’re are obsolete. #lawan
aidielrosli,"@SyedSaddiq plan pemulihan negara tak nampak hasil, kami nak something yang meyakinkan bukan wayang!!!"
feez_aiman,"@SyedSaddiq Saya mengharapkan pandemik ini dapat ditangani dengan lebih baik supaya masa muda saya tidak terbazir lebih lama,sepatutnya umur ni dan sebagai fresh grad, ni masanya nak cari pengalaman,tapi macam mana nak cari pengalaman kalau terpaksa berkurung di rumah dan susah nak dpt kerja"
faie_mac,"@SyedSaddiq #Lawan kerana pada tahap ini, rakyat sangat terjejas dan sengsara akibat kepentingan politikus yang pentingkan diri dan posisi. Akibatnya, sudah lebih setahun, kerajaan masih lemah dalam mengawal penularan Covid-19. #Lawan satu inisiatif mempertahankan kedudukan rakyat Marhaen."
lameriff,"@SyedSaddiq Penat dengan kerajaan yang taktahu apa yang dia buat. Nyawa rakyat macam takda nilai dibuatnya demi nak selamatkan tengkuk sendiri. Menteri semua tak guna, double standard. Apa lagi?"
coffeelattle,@SyedSaddiq @NabilHussein Sebab awak taknak lawan
msuhailsr,@SyedSaddiq Sebab penat duduk rumah sampai mampos tapi takda hasil. Yang kaya terus kaya yang miskin selamanya miskin ditindas
pacinggo,"@SyedSaddiq Yb cuba pikir nape org nak keluar kwsp.. sbb susah nak dpt bntuan dr gov baik zakat, kebajikan etc.. yg banyak bantu cuma ngo.. prog vaccine yg bazir duit gov.. nape nak kena belanja buat prog mega walhal sekolah2 yg ada bleh digunakan.."
weelz72614499,"@SyedSaddiq just felt the need to fight back to keep myself from being consumed by this growing sense of helplessness and defeat. Oh, and the kerajaan sucks."
ayie_samsuri,@SyedSaddiq sebab kerajaan buat rakyat macam orang bodoh
m15ara,"@SyedSaddiq sebab kesian tengok orang yang hilang kerja tak dapat makan. jadi menteri dapat jawatan tinggi2, gaji tinggi2 nak bagi sumbangan pun berkira. bagi sumbangan ciput tapi tampal gambar penuh satu kotak apa guna. nampak sangat takmnjlnkan tanggungjawab dgn betul."
nuruleeyy,"@SyedSaddiq Saya lawan guna kuku hitam sebab saya dah tamat belajar tapi x convo2 sebab PKP, saya tak boleh kerja, sia sia kan masa muda di rumah. Tak boleh enjoy dengan kawan2.  My life is jual inai ja di rumah 24 jam sekarang.  https://t.co/jcA7qW878b"
cahyamatha,@SyedSaddiq Seksa segala2..business tak dpt gerak
khairzawawi,@SyedSaddiq Sebab politikus semua gampang.
sharanstars_,@SyedSaddiq because it is frustrating to know that our current leaders do not understand what it truly takes to fight this pandemic. We have been pleading/begging to the government to have a full lockdown to combat this virus.
msamalinamzain,"@SyedSaddiq Letih nak hadap PKP, SOP double triple standard tak habis². Rakyat nak bergerak ke sana sini kemain banyak sop, menteri siap buat pesta makan durian! Too many to list down sebenarnya"
shamxykamal,@SyedSaddiq Rasa mcm rakyat kne penjara di negara sendiri. Bg sop itu ini tapi menteri &amp; puak kayangan langgar mcm babi. Bile bersuara sikit terus nk buka kertas siasatan. Kepala bapak kau la ! Drpd negara terbaik atasi masalah covid terus jadi negara terbangang tk settle2 lg covid ni ! 🤬
fayisyasydan,@SyedSaddiq Sebab dah tak sanggup hidup begini
harisygbijak,"@SyedSaddiq YB saya khianat. Rasulullah SAW tak ajar khianat perjanjian (dlm kisah abu jandal as), kerajaan khianat tak mungkin berakah.."
mytheorem,@SyedSaddiq Sebab saya tak sanggup untuk hidup di bawah penindasan orang tamak dan gila kuasa lagi. Ini negara kita. #Lawan
cheapremebrand,"@SyedSaddiq Kami sudah penat sebagai Rakyat. Kami #LAWAN BUKAN kerana tidak syg atau cinta kepada Negara tp kerana tidak lagi mahu duduk diam biarkan tanah air diratah oleh yg tamak haloba, sibuk mencari Janda, nikah bini kedua, ketiga ketika rakyat sedang MERANA.  CUKUP2LAH.  https://t.co/s2Hoo8wrXm"
frhluvfreedom,@SyedSaddiq Double standard boleh pesta durian. Kami nk dine-in with strict SOP pun tak boleh…..
adihazim32,@SyedSaddiq Mengapa tidak 😂
myhasfallen,@SyedSaddiq #Lawan adalah signal jelas kepada kerajaan dan parti2 politik bahawa rakyat hari ini bukannya bodoh dan boleh diperlekehkan. #Lawan bukan milik mana2 parti politik. #Lawan milik rakyat Malaysia. #Lawan boleh dilakukan kepada mana2 parti yang gagal memimpin dengan baik 🏴🏴🏴
abangabangaban,@SyedSaddiq to many idiots
pacinggo,@SyedSaddiq Frontliner yg separuh nyawa punye pendapat dipekakkan... keuntungan industri yg didenganya..mcm dah x bleh beza bunga dan taik.yb jgn terkejut kalau Malaysia ada puak pemberontak.
vthrj98,"@SyedSaddiq YB, Uni sendiri pun menindas pelajar dengan tidak memberi pulangan yuran yang sepatutnya. Many students are struggling and this UMK are doing it since the last year itself. Yuran is too expensive and they're not giving back they money we shouldn't pay to them. #umktindaspelajar  https://t.co/bcwwq6AYUG"
athiraakmrdn,@SyedSaddiq Saya dah penat. Assignment terlalu banyak sampai lupa tanggungjawab pada orang tua . Mental dah tak mcm dulu. Yuran still kena bayar dengan amaun yang sama walaupun duduk rumah. Data pun data sendiri kadang² gigihkan diri cari line. Bantuan student langsung takde. #ripstudent
tansriabahkau,@SyedSaddiq sebab penat. i know im not the govt but at this point apa guna menteri ada kelayakan or sijil dan degree kalau buat keputusan pon macam budak2? Lebih baik pilih yg takde degree tapi tahu buat keputusan drpd yg fake degree
kalauakukaya99,@SyedSaddiq Sebab setiap hari ada saja benda bangang yang menteri2 ni buat.
okayaimee,"@SyedSaddiq selama beberapa tahun kita dimomokkan dengan undang undang dan juga penahanan yang tak munasabah oleh arahan menteri menteri dan pdrm tanpa mengambil kira hak, kesengsaraan dan kuasa rakyat. rakyat berhak dan cukuplah, dah tiba masanya kami me- #lawan 🏴"
karmilanazar,"@SyedSaddiq not only the system is in complete mess, this government has failed us citizens many times! countless of chances were given and yet nothing seems to be improving! for goodness sake, the citizens wanted CHANGE but this isn't the change that we asked for! @MuhyiddinYassin STEP DOWN"
lolita89721,@SyedSaddiq Waste time and tax payers money. No sense of urgency while people dying and suffered. No strategy. Keep dragging and buying time to stay in power. Makes so much u-turn. Double standard. Bullshit Plan
petewg_,"@SyedSaddiq It's very exhausting to deal with Covid. Some deals with the loss of their loved ones. And to add to that, we have leaders of the country where their words and actions are not helping the situation at all. It's time for Malaysians to have a better leader to lead the country."
lightning_441,@SyedSaddiq lawan virus Covid-19 lah YB..YB sibuk nak guling kerajaan apahal..?? YB ni hebat sgt ke? sy dgr YB nk tumbang kat Muar?
majou_san,@SyedSaddiq The tua kutuk need some reality check. That's why.
tansriabahkau,@SyedSaddiq penat sampai aku sendiri rasa kalau aku kena jadi menteri tak bergaji aku sanggup daripada tengok kerajaan buat keputusan tak ikut pakar dan keadaan melarat macam ni...
tashi27046138,"@SyedSaddiq Please bring up the topic of IPCMC once the parliament finally opens. I have anxiety every time I read the news or look out my window because I feel scared of them. It's not just the government we must lawan, but lawan for our rights and safety too."
afiqzulkifliphy,@SyedSaddiq Untuk Malaysia baru yg lebih baik
easysam_,"@SyedSaddiq Dah tiba masanya org muda yg pegang tampok kepimpinan tuan, bukan sy cakap org tua yg ada skrg ni tak bagus kerja nya, tapi bglah org muda pula yg bekerja dan mencurahkan bakti pd negara, zaman ni zaman org muda tuan!"
peanutkacang,"@SyedSaddiq penat dengan pemerintah tiada kepimpinan melalui teladan. penat helpless tak mampu tlg semua orang yg susah. penat kena pijak &amp; di manipulate. on a diff note, teruskan apa yg YB &amp; team buat. may Allah bless semua. terima kasih dr kami"
liloyl,"@SyedSaddiq Demi Malaysia 🇲🇾. Msians  deserve better- leaders who lead by example, leaders who inspire and leaders that care. But all we got now is sampah. #Lawan"
priyasena,"@SyedSaddiq Sebab dia org buat attitude kayangan dan memerli rakyat..like we are below them 😤 govt is elected by ppl to work for them,not we work for govt😌  https://t.co/q2JDZtWUt5"
hikarinazuha,@SyedSaddiq Sebab bangang sangat.
aidiliboo,@SyedSaddiq Double standard
tansriabahkau,@SyedSaddiq because of the obvious tyranny and seeing how democracy is played for the rule of man and not the rule of law makes my body boils out of anger
tiktokvirall,@SyedSaddiq  https://t.co/gMmiBfKoBs
arfncen,"@SyedSaddiq @najihasp Sebab yg berpangkat terlalu angkuh lupa kuasa rakyat, buat kerja tak serupa bikin tapi gaji jalan, itu belum cerita kenyangkan perut kroni #lawan"
therealtiew,"@SyedSaddiq Im tired of seeing so called ""leaders"" not taking responsibility and admitting to their faults or mistakes. I want my country to have leaders that we can relate to, that we can connect with, that can be vulnerable like us, that will move the country together with us, not for us."
priyasena,@SyedSaddiq A government should be functioning effectively to protect and improve the livelihood of each citizen..not bullying them &amp; taking money into their own pockets 🤷‍♀️  https://t.co/ucvFyFyqqH
sasghn,"@SyedSaddiq Imagine if we properly manage this situation many moons ago with competence and proper lockdown procedure, our economic condition will not be as bad as now. PRN sabah is really the definitive 'punco'. Could save the unnecessary suffering and tragedy."
qamarazf_,@SyedSaddiq Saya taknak anak cucu saya hidup merana dek kerana saya tidak melawan menteri yang tidak kompeten untuk mentadbir negara.
thygr8gee,@SyedSaddiq kami penat yb. penat hidup mcmni. penat nak hidup. kerajaan mcm batu takda inisiatif and day by day takda satu berita pun nak senangkan rakyat.
casyuewnut,"@SyedSaddiq Sebab penat la waibee, penat yang tak berpenghujung dengan kerajaan babi ni. Kalau waibee ada peluang untuk duduk di kerusi kerajaan lagi, kekalkan dan tingkatkan performance okay. Jangan jadi cam orang2 tua kutuk tu. PENATLAHHHH"
_traditionalis,"@SyedSaddiq Because these nonsensical Lockdowns have ruined businesses, spiked the number of suicides and destroyed our livelihoods and economy. They took away our freedoms and liberty. And seek to punish those who are already suffering."
oumonoman,@SyedSaddiq Fighting for a better place for my daughters.
joondaehwan,@SyedSaddiq I can't stand staying at home doing nothing. Sleepless nights and burnouts is becoming a normal thing in my day to day life.
aliaanith2,"@SyedSaddiq Sbb kes covid tak turun2 dah setahun lebih, Kesian kat orang miskin yg di tindas tak dapat meniaga, keluarga ikat perut. Student takda internet dan media utk belajar sempurna. kerja kena buang, gaji dipotong, komitment tinggi duit tak dak. Duit simpanan pun habis. Kesian depa😭"
fiqxahmad_,@SyedSaddiq Hmmm. I want a better future for Malaysia ☹️ plsss don’t make me lose hope 😢 Malaysian deserve better. now I don’t see any improvement 😞😞😞😞
faziranoor_,@SyedSaddiq  https://t.co/JST4dozqvW
azriredhx,"@SyedSaddiq Penat putus asa la SS, menghadap benda yang sama. Dah nak masuk 3 bulan keluar duit personal saving sendiri untuk bayar gaji pekerja. Pekerja pun ada tanggungan keluarga nak bagi makan. Kalau kena diberhentikan kerja tak ke sengsara kehidupan #KerajaanPekak #KerajaanZalim"
nakhoda_ragam19,"@SyedSaddiq 1. Double Standard.  2. Banyak idea bodoh.  3. Tak serius menangani kes COVID-19 dan terus bebankan frontliner. 4. SOP cacamarba.  5. Tak sensitif, pekak, buta dan lambat peka ttg kesusahan rakyat 6. Terlampau bermain politik dan gila kuasa. 7. Memperbodohkan rakyat."
azizianuargg,@SyedSaddiq Penat.. Nak melancong pulak!!!
tetaufiq,@SyedSaddiq kami tak kisah sape yg memerintah tp kalau buat keje mcm hanat &amp; tak utamakan rakyat mmg kami akan lawan! #LawanTetapLawan
2ndrandomizr,@SyedSaddiq Because of the raging double standard that’s been apparent throughout the whole pandemic.   How come the fully vaccinated cabinet aren’t returning to office?  And not to mention a great deal of our frontliners work tirelessly everyday with no path to any postgraduate programme.
parthipan993,@SyedSaddiq Saya lawan untuk sesuatu yang kukuh dan langkah yang bagus kerajaan ambil dengan menutup kedua-dua pintu dan bukan membuka pintu belakang. @SyedSaddiq rakyat memgetahui semua.
syahirrahanis,@SyedSaddiq @amaliyott @nurathrh___ jawab
pak_jokoo,"@SyedSaddiq Terlalu banyak salah guna kuasa, pecah amanah , rasuah , pakai cable , buat keputusan mcm bdk sekolah, langsung tak hormat suara orang muda, duit kerajaan dibuat macam duit sendiri. Aset berjuta2 mana datang nye ? Terlalu banyak pernindasan kepada rakyat 😢 kami dah penat #lawan"
wnazhar_,@SyedSaddiq dah malas golongan tua gila harta memerintah
aliefhakkim,@SyedSaddiq Sbb satu vaksin pun tak dapat lagi sampai skrg !
wfzy90,@SyedSaddiq sebab kerana cirit dan durian sy terpkse lawan.... oh lupa si bapak kluster pun samaaaa...
irowaboat,@SyedSaddiq Korang dah rosakkan negara ni
aishallerin,"@SyedSaddiq Nak kerja, nak jaga mak"
rahah_ghazali,@SyedSaddiq Why? Whatever your reasons are combined with the rest of us. Equally frustrating is how strong &amp; well prepared will the Opposition be to fight this mean &amp; deceitful government?
matt_murphy09,@SyedSaddiq Kita me#LAWAN kerajaan pintu belakang dengan para menteri2 yang sombong dan bongkak.. Saya mengishtharkan perang keatas kerajaan yang sombong dan bongkak serta mememtingkan kaptalis semata2.. #LAWAN sampai mereka menyerah.. Sekian dari saya
rakanbelia,@SyedSaddiq Sebab xde yg melawan bagi pihak rakyat
calistalieya,"@SyedSaddiq Untuk semua rakyat Malaysia.  Terlalu ramai yang kehilangan pendapatan, terlalu ramai yg kehilangan orang tersayang sbb Covid. Terlalu ramai yang terkesan mental kerana ""terkurung"" sbb lockdown sejak Covid start.   Malaysia tenat, Malaysia #Lawan #RakyatJagaRakyat"
nazarrafiqhi,@SyedSaddiq  https://t.co/EZTYLmEGLb
ainaziz14,"@SyedSaddiq sebab takda satu pun method yg berjaya dr segi nak bendung covid, naikkan ekonomi, tarik pelabur, fight utk living cost n kebajikan rakyat plus tak mendengar langsung isi hati dan pendapat rakyat. mereka hya fight utk kuasa n duit masing2 tp xda langsung nk buat utk Malaysia"
dieyyy1,"@SyedSaddiq @lolliyanana saya dah bertahun-tahun tunggu untuk masuk zaman universiti sebab fikir dah bebas, boleh enjoy dengan kawan jalan sana sini. tapi sekarang 2 tahun terbazir sebab kerajaan tak reti handle pandemik ni. masa rugi camtu je. and tak dapat create banyak memories in uni life 😔"
gabbagabbahey4,@SyedSaddiq Sebab dah penat dgn SOP yg tak ada kesan
mhafizzz19,"@SyedSaddiq Kerajaan ke pembangkang ke kalau benda dah tak betul and tindas rakyat, kami tetap #lawan sampai jatuh!✊🏼🏴"
dex_wx,"@SyedSaddiq Hopeless, living but dead"
ridfanh,"@SyedSaddiq Pasal cara rejim skrg buat kerja tk efektif. Depa ada kuasa total, tkde org boleh kata tidak; dn masih semua jd caca merba, tk masuk akal, dn u-turn 2-3 kali psl tk bincang dgn semua yg terkesan dgn polisi dorg."
atikajaferi,"@SyedSaddiq Saya penat. Buat keputusan yang tak mendatangkan hasil. Duk fikir ke jangka pendek, tak fikir jangka panjang. Baik merana sekejap, dari berterusan macam ni. Kalau masalah negara pun nak saya fikir, masalahlah ada kerajaan macam ni."
kaqimmm,@SyedSaddiq Respon MB Kedah di Instagram #lawan 🏴  https://t.co/bP3ypKTW1t
mrnicesmile80,@SyedSaddiq  https://t.co/Ma2TEWioVP
mrnicesmile80,@SyedSaddiq  https://t.co/eqz9WYcE3N
mrnicesmile80,@SyedSaddiq  https://t.co/kn5quCrMUI
sparkfinders2,"@SyedSaddiq kami rata-rata tak nak ‘orang tua’ atau unconsciously competent dan incompetent tadbir negara ini… kami mahukan orang muda  yang consciously competent tadbir negara ini, yang terdiri daripada kaum Melayu, Cina, India, suku2 di Sabah dan Sarawak…"
pittzaaa,@SyedSaddiq penat. terlalu penat. kes covid ni dari 2019 lagi. tapi tu lah sekarang dah worse hm pkp ni memang khas untuk rakyat je agaknya.
jeffreychiang66,"@SyedSaddiq Go take a look at the conditions at MAEPS, the total failure of any semblance of organisation in a major quarantine facility is reflective of the larger problem plaguing this country run by #kerajaangagal #lawan"
itsninott_,"@SyedSaddiq aku pun penat odl, lagi lah tengok mak aku mengajar online."
alifnazimi,@SyedSaddiq nk sedarkan Malaysian betapa bangangnya pas. kau sokong lah apa pun takpa. asal bukan pas.
puterisshahirah,@SyedSaddiq kecewa dengan kerajaan. kalau boleh bukan muhyiddin je letak jawatan. azmin ali pun perlu letak jawatan paling tak function!!!!!!!
danialfreko,@SyedSaddiq This country has soo many potential. Be it the natural resources. Be it the hardworking workforce. Country that’s extremely safe from natural disasters. But why are at this state? Because of the incompetent leaders! That’s why! We deserve better!
zomwavu,@SyedSaddiq Heart breaking to see these suicide cases rising up. Family struggling to survive the month.This is not the malaysia I want to see soon 😭
yickhan,"@SyedSaddiq ""In this present crisis, government is not the solution to our problems. Government is the problem."" --- Ronald Reagan, former President of the United States  And even worse when shameless politicians is a part of the government."
sshnzjwa,"@SyedSaddiq Sebab kerajaan sekarang langsung tak fikirkan rakyat. Rakyat derita, penat dengan pandemik, kerajaan tak cekap. Sop yang bertukar tukar, double standard. Kerajaan yg sentiasa salahkan rakyat. Kerajaan yang babi. Barisan menteri yang babi. 2 years yang valueless. #LAWAN"
hasssseu,@SyedSaddiq siapa lagi nak tolong kalau bukan #RakyatJagaRakyat . recent gov memang out dah pembangkang pun masih boleh wish hb
hariz_iskandar,@SyedSaddiq Letih nak hadap online class tambah pula tak boleh masuk lab untuk pembelajaran praktikal sangat menyusahkan. Tahun depan akhir lepas tu nak cari kerja. Agak agak industri nak ke student yang hanya tahu buat simulation kat laptop saja ?
rosezrosezrosez,"@SyedSaddiq Muat bersabar, muat menunggu. Muat tryin to make ends meet without a job while lookin at those in power continue building happiness and riches on top of the rakyats' suffering everyday. Enough is enough. Malaysian Lives Matter."
brotherbhp,@SyedSaddiq Sejujurnya saya tak affected pun sebab saya masih boleh bekerja tapi reason kenapa saya lawan sebab saya jadi emotional tengok kawan kawan saya struggle nak hidup setiap hari. Dulu diorang sambung belajar sebab atas nasihat saya. Tapi skrg dah grad 2 tahun jd rider. Cr kerja tkde
mejakerusi1,@SyedSaddiq Double Standard yang ketara. takdak sorok2 dah. SEMUA PENAT !
iyunaa_,@SyedSaddiq Give up nak tengok govt keluar statement bodo sampai tak boleh bincang. Buat malu kat negara luar. Dia ingat bodo dia tu dalam malaysia je ke. They should be portray as a good leader to the outsiders but then dorg yg buat onar menconteng arang kat negara sendiri. Memalukan!
paukai_liao,@SyedSaddiq 1. Sbb Msia adalah negera berdemokrasi and it's our rights to choose our leaders!  2. Citizens suffering but MPs doing the same BS gets away fine-free!  3. Why we all IPTS one year can online but these vaccinated menteris cannot reconvene Parliament or do online???
rahman_thegreat,"@SyedSaddiq Saya dah penat mental dan fizikal dengan kerajaan yang incompetent dan undang2 dua darjat ini. Justeru, kami #lawan"
hannanimrafizi,@SyedSaddiq This thread:  #Lawan  https://t.co/Lj4rWto0ug
aisyhrazk,@SyedSaddiq Dah penat rasa dibodohkan dan penat melihat kebodohan kerajaan huh
aksaraqa27,"@SyedSaddiq Penat yb. Saat rakyat bersusah hati, memikirkan apa nak makan esok pagi. Ada di antara mereka yang seolah olah seperti tiada empati :)"
akbakidin,@SyedSaddiq #Lawan sebab pemerintah sekarang x function malah menindas lagi  https://t.co/CIGmThCzom
syiqeenrhmnv,"@SyedSaddiq Sebab dah tau dah kes makin banyak dan tak turun² punca daripada kluster mana, tapi still tak endahkan"
