bevintharaj,🏴🏴🏴 #Lawan
afafasyrafaor,Pak menteri right now #Lawan  PEMULIH bagi dah  I-Sinar bagi dah  I-Citra bagi dah.   Mesti akan keluaq ayaq ni.  https://t.co/iTz3EdJUVR
spicekween,Ya Allah emosinya aku tengok ni 💔💔💔 zalim bodoh #Lawan 🏴🏴🏴
thefiqrishuib7,"#Lawan  I became what I become because of injustice. If I don't speak out l, I feel like I am betraying the essence of why I become what I became. But I am only a cog in a wheel, thus what I can do is pray that Allah saves us all from all of the injustice we're enduring rite now  https://t.co/RofH0h8pyK"
suganthalingam,#lawan  https://t.co/6IutQVyeSF
v3n0mv7,@tul4ng @syahredzan 💪🏴💪🏴💪😎💪🏴💪🏴💪  #LAWAN #KERAJAANGAGAL #KERAJAANBANGSAT
_iamfrommars,rakyat-rakyat teraniaya 🏴😭 #lawan
bainughi,"Keep faith, be kind and stay angry #lawan"
v3n0mv7,@HklHrdn_ @syahredzan 💪🏴💪🏴💪😎💪🏴💪🏴💪  #LAWAN #KERAJAANGAGAL #KERAJAANBANGSAT
marcusncy,#Lawan
onenickalas,Voicing discontent against a failed (unelected) government is sedition? GTFO 🏴 #lawan
steam_matcah,#Lawan
yuyunjusran,#lawan
danielafiq9____,#Lawan
trippin9999,@PutraREFORMASI #lawan #lawan #lawan
marcusncy,#lawan
firdausazman52,"Demi negara, demi rakyat susah! Black shirt with MALAYSIA FLAG!  #Lawan Tetap #Lawan Terus #Lawan  Lawan kezaliman terhadap rakyat. Lawan penguatkuasa zalim terhadap rakyat.  https://t.co/EGBomKK7LL"
n_pencilcactus,🏴 #lawan #benderahitam
ikram_masiri,Disclaimer : Solidariti #LAWAN dan #BenderaHitam aku sebagai rakyat. Bukan solidariti sebagai sebahagian pembangkang HARAPAN.  https://t.co/pJpe03w7gm
dausx__,Suara marhaen 🏴🏴🏴 #Lawan #BenderaHitam
ariffin____,Assmin looking up twitter trending  #Lawan  https://t.co/wqZncEjhXL
deuxtweeting,@NewsBFM where is our freedom of speech? #LAWAN
v3n0mv7,@IzzRaifHarz @BadBoy2662 💪🏴💪🏴💪😎💪🏴💪🏴💪  #LAWAN #KERAJAANGAGAL #KERAJAANBANGSAT
hanifsenin,🏴🏴🏴 #Lawan #BenderaHitam #KerajaanGagal
mytheorem,"Polis takyah bazir tenaga la nak siasat #Lawan dan #BenderaHitam. Banyak lagi kes lain tak habis siasat, takyah nak bazir resource. Bukannya rakyat turun ke jalan pun."
syafaazwan,#Lawan #BenderaHitam  https://t.co/3isX9cjMve
mjeongyb,I know this is my stan acc and i shouldn't bring in politics here. But my country and the people comes first. Spread the news. We're fighting back 🏴🏴🏴. #Lawan #benderahitam #muhyiddinOut
v3n0mv7,@TheChekMad @BadBoy2662 💪🏴💪🏴💪😎💪🏴💪🏴💪  #LAWAN #KERAJAANGAGAL #KERAJAANBANGSAT
thalhahhazni,"Hari ini bendera, esok bergambar berbaju hitam dpn markas Pas onz! #lawan tetap lawan!"
afafasyrafaor,Sesuai bukan dengan political climate Malaysia sekarang? #Lawan  https://t.co/sfCxQQ7jnj
zainzaj,#LAWAN  https://t.co/4L9x3twXqM
nicoletan19,How to not support #lawan when 95% of your wardrobe is black shirts lmao
sehidangrasa,#Lawan  https://t.co/FBwz93pv4l
v3n0mv7,@syahredzan Go for 200k terus Bro Syah..   💪🏴💪🏴💪😎💪🏴💪🏴💪  #LAWAN #KERAJAANGAGAL #KERAJAANBANGSAT
hayatulfaiqahj,#Lawan 🏴🇲🇾
syzmey,#MuhyiddinLetakJawatan #Lawan
lareinalenea,But it's raining now lol #lawan  https://t.co/haQ7AXLvjq
ferozfifie,Satu rumah kaler hitam..no need bendera! #Lawan
microyeedies,🏴🏴🏴🏴🏴🏴  #lawan #kerajaanGagal
upathecatlady,"I'm rarely vocal, but the incompetency is obvious. And it's too much. #lawan"
afafasyrafaor,#Lawan  https://t.co/gzleZr8g5b
v3n0mv7,@SistersinIslam 💪🏴💪🏴💪😎💪🏴💪🏴💪  #LAWAN #KERAJAANGAGAL #KERAJAANBANGSAT
koukoupou,🤸ape2 jelah..jiwa jangan hamba pada manusia celaka #BenderaHitam #Lawan #KerajaanGagal
blackened84,@f15teen15 I dah sacrifice dah...😂 #lawan tetap lawan! #KerajaanBodoh  https://t.co/H8EMLxY7aF
notsyaknotme,@misspaything diorang nak #lawan
jhobist,You led our nation without our approval; we have the right to kick you out without your approval. #LAWAN #MuhyiddinLetakJawatan #BenderaHitam 🏴
khawasake,Die for the government Die for the country that’s shit   #Lawan 🏴🏴🏴🏴
husna_hamran,Banyak duit dah dirugikan bayar menteri menteri tak guna ni.  Dah lah ramai pulak tu.   Rakyat pulak kelaparan.  Menteri sibuk nak sekolahkan anak kat luar negara.  Apa dh jadi dengan Malaysia?  #lawan #benderahitam #KerajaanZalim  #MuhyiddinLetakJawatan
justmirulmirul,#BenderaHitam #Lawan
aimanaslamxxv,Sedap betul aku tengok #LAWAN dah lebih 100k.
kaniaaseelan,#lawan   https://t.co/GFv3qmkGTo
kkrish_kumar22,Tengok apa tu? Nak keluar dan #Lawan 🏴 kah? 🐶😄  https://t.co/6blZzvh28F
fxxxxxxixxxtx,Show your support! #Lawan #LAWAN #KerajaanZalim #KerajaanGagal   🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴  Malaysian DESERVE better ❤️🇲🇾
azrlarff,Kita #Lawan 🏴  https://t.co/Gf9ciPJYmI
jobhojack,Fight for our Right and Future !  #Lawan🏴 #KerajaanGagal  https://t.co/wRKmWiWZWx
shmielyashmsul,#Lawan 🏴🏴🏴🏴🏴🏴🏴
frkhnshmt,"Day by day, politicians only give the bullshit statement. #Lawan"
mhdizzuddin,"Demi cinta yang suci, Ku rela korbankan kepentingann dirii wooo~ (nasyid UNIC gitteww) #LawanTetapLawan  #Lawan"
ainqarina,🏴 #lawan
izwanxnasir,That face 😂 #Lawan
munama96,#Lawan
cheapremebrand,"Just nk bgtau.. Yg tengah tu warna KELABU TAHI ANJING yang sudah Kering... Bukan Putih suci, bukan Kelabu Asap.  Available from  https://t.co/PlDlQ6KbbN  #Cheapreme #Lawan #BenderaHitam #KerajaanGagal #BarangBagus #barangbaik #tshirt  https://t.co/aFGwezVaAz"
okinafitto,@InjangNation #Lawan 🏴
aiman_azizan09,Lawan Tetap Lawan #Solidariti #Lawan #BenderaHitam #KerajaanCirit  https://t.co/cOKjcCxjMx
armand52638527,@UMonline #Lawan #KerajaanGagal
ozzyduii,Power 4 Da People #Lawan #BenderaHitam  https://t.co/NxoIh6b7sU
yukimohdyusoff,Bagus nak #lawan tapi pastikan kita dan kawan-kawan dah registered  sebagai pengundi sbb dekat situ adalah medan #lawan yang sebenar.
sirsazly,@syahredzan Boleh …. Insyallah #Lawan #LawanTetapLawan
maya_keema,#lawan
vladimirgnade,#LAWAN 🏴
sukhjeet_98,#lawan
lovepatrick89,#MuhyiddinLetakJawatan #Lawan  #LawanTetapLawan
notamanusia,lukisan sempena #Lawan  inspired from otandco  https://t.co/ZrcaLe5vop
raihaneon,#Lawan #MuhyiddinLetakJawatan #BenderaHitam
azizi_azizan,"Bukan melawan covid dah cara ni, more like melawan kebodohan pemerintah. 🏴🏴🏴 #Lawan"
softlildan,malaysia free era when? 🏴🏴🏴 #kerajaangagal #benderahitam #lawan
lareinalenea,Ada dementor...  #Lawan  https://t.co/4QPiAABIhV
fshaziq,"Sebab ni lah maleh aku nak main fb, ramai benor si bengang penjilat tegar.  Dia punya ayat dok hantam orang lain yg support angkat bendera hitam #Lawan ni macam takdak pedoman dah.  Woi orang tua, kau duduk kampung kawasan bendang boleh lah sembang. Mai KL ni tengok kau jadi apa"
cycwong,This is by far one of the most stupid things that @MKNJPM can allow to happen. Notice the words on the wall. The entire chain of command should be fired as  it seems that none of them have a brain. #BenderaHitam #Lawan #KerajaanGagal  https://t.co/5Mk4NT78zE
v3n0mv7,@hxsm @syahredzan 💪🏴💪🏴💪😎💪🏴💪🏴💪  #LAWAN #KERAJAANGAGAL #KERAJAANBANGSAT
kammosiwong,"Them are selfish MPs and Ministers. They have lost track of what's happening on the ground. Blood is on their hands as they lust for power. This time round, Rakyat of #Malaysia have had enough! #Lawan #BenderaHitam"
abdullahomar821,#MuhyiddinLetakJawatan #benderahitam #lawan 🏴🏴🏴🏴
shamsul__kamal,#NewProfilePic #Lawan  https://t.co/GhVDGeysOo
idcasyraf,The bar is so low that I can accept a gomen that is incompetent cuz these cunts are actively harming everyone #lawan
v3n0mv7,@naimalkalantani @syahredzan 💪🏴💪🏴💪😎💪🏴💪🏴💪  #LAWAN #KERAJAANGAGAL #KERAJAANBANGSAT
syuhadafadzil,Fight injustice against government failure #Lawan #BenderaHitam #MuhyiddinLetakJawatan  https://t.co/KyndviF2KS
fyzuladzwan,#BenderaPutih  #Lawan  #PenunggangAgama  https://t.co/u6dGTXXT6A
afiqxsy_,#lawan sampai #MuhyiddinLetakJawatan
dncalifornia,#lawan ni kan..boleh ubah sikit tak demand? PM resign DAN BUKAN AZMIN ganti.
mikewoonz,#lawan
bangsawankelana,Betapa kasihnya wanita pada negara. Ramai yang sanggup korbankan tudung hitam masing² #Lawan
hafizazhar_11,#lawan
lh_rml,Susah tang mana? Org mcm hang ni yg wujud utk menyusahkan org #lawan!
aizatsh_,"This time, public anger is prevalent. It’s not an ‘organised anger’. It has affected every individual from travel restriction to see family members, deaths to loss of income. This anger has mounted over the past months. It could grow bigger, violent,.. #Lawan"
aizatsh_,"Legal retaliation will not make public anger subside, but the opposite. The more you press the people, the more people will rise and resist through their own ways. #Lawan"
sulaemansmd,#lawan #KerajaanZalim #BenderaHitam
akbakidin,#Lawan !
wannuraisha96,Enough of this shitty government 🏴 #Lawan #BenderaHitam #KerajaanGagal  https://t.co/TntT2um81G
ygaafi,🏴🏴🏴🏴🏴 #Lawan
azaneo,dah nak senja pun mak aku tak kasi turunkan lagi 😁 🏴🏴🏴  #Benderahitam #Lawan  https://t.co/4G5i57w0Gu
fadhilayman,🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴  #lawan  #KerajaanBangsat   Langit pun sama gelap 🖤
wan_muqry,#LAWAN BABIH
themomoysss,#Lawan please trend this hashstags. Kita memang dah fucked up menangis tengok huru hara jadi tapi kerajaan masih senyap tanpa apa2 bantuan
thxmbyulie,We are very much disappointed with the current regime #KerajaanPintuBelakang . We're all sick and tired with their desperate attempts to kill us all  #Lawan #MuhyiddinLetakJawatan #benderahitam 🏴
hhpixels,Jangan takut #Lawan  https://t.co/IefGq9AnvQ
nuraaaziz,🏴🏴🏴 #Lawan #BenderaHitam
haissazch,Don’t stop #Lawan 🏴 #NewProfilePic  https://t.co/9A16JALIWC
blackk0k0,#Lawan comment sikit.
abahkaulatu,#LawanTetapLawan #Lawan #muhyiddinletakjawatan #benderahitam
cakenotcrumbs,tak seberapa tapi you get the point. #lawan #benderahitam  sebab dah penat. sampai bila? penat. sakit. celaru.  dorang apa tau?  https://t.co/RdotGN1xOs
viggystrdust,We must feel each moment of pain endured by our people  Every second of the violence of austerity forced upon the downtrodden  Every step towards the edge for those suffering mental anguish  Every single death and lost life  We must demand justice for the lives ruined  #Lawan 🏴
wvgif,"The best #BenderaHitam #Lawan I saw today were made of black garbage bags! Sesuai sangatlah dengan jemaah menteri kerajaan Muhyiddin Yassin yang busuk dan elok ditongsampahkan! Tempat kamu semua memang dengan tulang ikan, perut ayam, sayur busuk dalam tu!  https://t.co/TM6akwlm5g"
fikrirfan13,#MuhyiddinLetakJawatan #BenderaHitam #Lawan 🏴🏴🏴
chickweed79,kejap lagi hilang la trending #KerajaanBangsat #Lawan #BenderaHitam
capeknami,🏴🏴🏴 #BenderaHitam #Lawan #KerajaanZalim
amrhaqlhrzk,"terlewat sbb aku tido masa yg sepatutnya, ni pun gambar masa awal tahun. yg penting #lawan #benderahitam  https://t.co/sAL76lvkPB"
ierishadaniaaa,🏴🏴🏴🏴 #lawan
acapdesouza,"Kalau KERAJAAN  yang BAIK ingin dijatuhkan pastinya ada RAKYAT  yang teguh mempertahankan . Tapi, kalau RAKYAT sendiri yang menyokong KERAJAAN jatuh, maka fikirkanlah kedudukan kalian di hati RAKYAT  #Lawan  #BenderaHitam #MuhyiddinLetakJawatan"
abdullahqay89,#Lawan #BenderaHitam #MuhyiddinLetakJawatan #KerajaanGagal  https://t.co/y5Obrx6SYY
comelcomels,#Lawan #MuhyiddinLetakJawatan
queermalaysia,ready the guillotine #lawan  https://t.co/bwobIPLgCh
akmalwahabe,🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴 #lawan #BenderaHitam #KerajaanGagal
shasenza,#lawan  https://t.co/OI3DzAEkLe
mohdkennedy,Kita #LAWAN dari Durham untuk Malaysia  https://t.co/CKGkCzcNXp
neexxzz,The nearest to #BenderaHitam yg di-allowed to hang kat rumah. #lawan 🏴  https://t.co/qXWYVAPaNO
syakirnasa1704,@mkini_bm #lawan  https://t.co/YtgShr8R3p
walksofv,#Lawan  #BlackFlag  https://t.co/bepU1aleFO
aazrain,#LAWAN  https://t.co/UTkAhhRwjB
iamsein22,#Lawan🏴
husna_hamran,#lawan
theaazimaziz,#Lawan #LawanTetapLawan
md_syzwan,"Kenapa kerajaan tak menambah fasiliti asas macam ni? Ambulans boleh beli, takkan takda duit beli stand drip etc? Takkan tggu @ustazebitlew jugak kot.  #lawan #kerajaangagal"
realvanathiah,"Kita #lawan , Kita #undi , Kita kibar #benderahitam ,  Kita kibar #BenderaPutih  Kita laung #Reformasi ,   Apakan daya, semuanya kekal SAMA,  Akan tetapi Kami tidak akan putus asa,  Sehingga   Suatu Hari KITA akan Menang.  #Malaysia"
youngaljunied,Kerajaan gagal pergi mampos #LAWAN
ilham_mnor,#Lawan #BenderaHitam
diniemohdfadil,Demi Agama Bangsa Dan Negara  Kita #Lawan🏴🇲🇾
afafasyrafaor,"Aku sembang dengan mak aku ""Ada movement #Lawan #BenderaHitam""   Mak aku kata ""Ishh depa ni tak bersyukur ka apa kerajaan dah bagi""   Simple ja aku kata. ""Mudah mak kata gitu sbb bulan² dok masuk gaji"""
nhvdd9,#lawan
umairahmhd_,"Walaupun tgh quarantine tkboleh keluar bilik, tapi aku boleh gantung shawl aku utk support #BlackFlag #Lawan #Benderahitam  https://t.co/VAlmXrmC7C"
themediaxpress,#Lawan #BenderaHitam inilah soldadu pertama PN  https://t.co/Y93kitaenz
ejattishere,#Lawan #KerajaanGagal Try and stop what we do Rise above! We're gonna rise above! When they can't do it themselves Rise above! We're gonna rise above!  https://t.co/IMrVnbk2uZ
akbakidin,#Lawan masih trending!  https://t.co/dUR1fGA9zy
myzanash89,Huum kasihan pd penduduk selangor ak pong nk #lawan cos x dpt vaksin td🙃🙃🙃
aj36912151821,"Malaysians sibuk nak #MuhyiddinLetakJawatan #Lawan and #BenderaHitam ,tiber mai KEL 😪"
cipkhui,@KKMPutrajaya Kita #Lawan #KerajaanGagal 🏴🏴
commanderjmk,#Lawan  #KerajaanGagal  https://t.co/0fKHt7Qs3F
nabiswho,Hari pertama PKPD 1. Kemas rumah 2. Tanam pokok 3. Grooming kucing 4. Follow up #Lawan
cycwong,🏴🏴🏴🏴🏴🏴🏴🏴 #BenderaHitam #Lawan #KerajaanGagal
mk_anasomar,@HklHrdn_ @syahredzan Terbaek 👍..Ak copy buat DP. #Lawan
ismiowlman,#Lawan  https://t.co/ljjMfZEyDq
chihohoho,#lawan ke #taklawan
lamyamim_,"Angkat bendera putih tak boleh. Susah macam mana pun jangan angkat bendera putih. Angkat tangan berdoa sahaja boleh.  Wahai pak-pak lebai sekalian, kalau macam tu, saya angkat jari tengah buat anda boleh? 🖕🏼#Lawan"
aliffhamid17,#Lawan  #JanganBunuhIndustriKami  https://t.co/mrqzgL1M6J
aimankmsrn,#Lawan
escnajmi,Kita #Lawan
2ndrandomizr,Almost 150k #Lawan tweets and counting.  We’re tired of this clownery.
mytheorem,Come on 144k #Lawan
_nadiaaa16,Put up your black flags everyone 🏴 #lawan
vanillathundhh,Tired of this #KerajaanGagal #Lawan  https://t.co/0ivjPKfynO
sue_lyy,Solidarity with malaysians who are disappointed and lost trust in #KerajaanGagal  🏴🏴🏴#LAWAN
la__tep,@afieffirdaus Jadikan abg ni maskot #Lawan
abdulalimaz,#Lawan #LawanTetapLawan  https://t.co/Hx6NgAHtLQ
shaedowh,Jalan kan tanggung - jawab sebagai rakyat kepada rakyat 🏴🖤🤝  #Lawan #BenderaHitam #KerajaanGagal  https://t.co/WbDRd4wIFi
annieveeee,Bontot kuali jauh lebih helok dari gov skrg! #Lawan
amirulhadi87,#LAWAN  https://t.co/lmhx3b8GDR
naimalkalantani,#Lawan  https://t.co/QwiJ8bk2zz
ahmadnazirjoe,#Lawan🏴
syfeun,🏴🏴🏴🏴#lawan
cipkhui,@adhaaaaaaaarith @fanimalist Aminnn! Mereka akan jadi orang2 yg menyesal di alam kemudian kerna mengambil tanggungjawab sebagai pemerintah tapi hanya mahu menindas rakyat. Kita #Lawan #KerajaanGagal 🏴🏴
nsyazwaniamir,#Lawan tetap lawan 🏴
syahredzan,Sebab itu orang #lawan #KerajaanGagal ni.  Sebab orang macam Timbalan Presiden Bersatu ni.
weixhien,We need more celebrities like @daiyantrisha and @sharifahamani to actually influence and educate people of what’s going on and creating awareness.. #lawan and you are not alone in this 🏴🏴🏴
lunajustfine,#LawanTetapLawan #Lawan #BenderaHitam
rashdankhalid_,#MuhyiddinLetakJawatan #Lawan #BenderaHitam
jowo_taaugeh,And most of the police too. #Lawan
zharifzaharil,#Lawan 🏴🏴🏴🏴
felix_97x,🏴🏴🏴 #Lawan
jay51688892,#lawan  https://t.co/R20s92PjPe
nasrulafiq_,@BelNeezar Pehh dah ada group. Hahahaha mantap2. Tunggu laa border buka eh. Kes harini pun tak banyak. 6k lebih je. Bastard! 🏴 #lawan #KerajaanBangsat
dellalupi,"Lol cute bena, #LAWAN jadi #lawan🥺"
azeemhazmiii,#Lawan  https://t.co/uaP3hgpWAU
wvndgr8,#Lawan #BenderaHitam #MuhyiddinLetakJawatan
akubudakhiv,#BenderaHitam #Lawan   Tidakkah engkau merasa malu?  https://t.co/V1DrDXQOEA
rusukx,@DGHisham #Lawan  https://t.co/bhgVEWF3M6
oodlyoodle,this is why 138K of us tweeted today #lawan #BenderaHitam
kendalajenner,#Lawan
histonomer,BODOH BODOH BODOH. You can’t shut rakyat up. BODOH. #Lawan #KerajaanGagal #MahiMahiItuIkanTapiMahiaddinItuUdang
sistersinislam,#lawan 🏴  https://t.co/6VD1NG5UxT
vivrehun,"I mean, it’s better this way. Tu pun nak tangkap orang jugak ke? Bila masa pulak kibarkan bendera kat rumah sendiri and protesting on social media salah? Ke nak tunggu sampai rakyat turun jalan or macam mana? Bodoh sial police and government ni.   #Lawan #BenderaHitam"
wnabhadi,Kita #Lawan 🏴🏴🏴
ikram_masiri,@balqishasri #LAWAN tetap lawan! hahah
akmalmfao,They gonna use this Akta Sakit Hati because they're already scared #Lawan 🏴
afqaffy,Free wallpaper! #lawan  https://t.co/ZMKmlninho
johnt69863736,@syahredzan #Lawan #BenderaHitam
shamsul__kamal,Ada sekurang²nya 3 perkataan yg tak wujud dalam kamus #KerajaanGagal   Malu Maruah #LETAKJAWATAN   #Lawan
aliahnjh,#Benderahitam #Lawan
fazren_aff,Mungkin hari ini hari esok atau nanti kita tetap #Lawan
leesyottt,WE NEED ACTIONS ! NOT PLANS !  #MuhyiddinLetakJawatan  #BenderaHitam  #Lawan
cycwong,#BenderaHitam #Lawan #KerajaanGagal   Incompetence with Arrogance Solidified.  https://t.co/1PdTP88iXI
adibluqy14,"Andai kata la si babi tu nak tangkap semua yang post #Lawan tu, atleast kasi aku habis dulu sem ni can ah?"
lyssasophia_,#Lawan  #BenderaHitam  🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴
ibnzakuan,142k n keep counting n keep tweeting #Lawan!  Rejim tidak pernah senang dengan solidariti rakyat.  https://t.co/hzeyy7cmr8
luqmxnden,Puas hati gila tengok benda nii #lawan
nnjh1997,In solidarity 🏴 #Lawan
husna_hamran,"Harini aku pakai dari atas smpai bawah semua hitam.   Aku dah penat dengan semua ni. Walaupun hny pakai dalam rumah, tp tetap buat aku puas. Bukan senang aku nak tunjuk apa yg aku rasa.   solidariti rakyat Malaysia #kerajaangagal #KerajaanZalim  #lawan #benderahitam"
alinzhn,#lawan
atlas_zion,#LAWAN
amberi___,#LAWAN #KerajaanGagal
kryptogan,🏴 #KitaJagaKita #Lawan  https://t.co/zedh3cZ4vR
cluelesship_e,Rohirim! #LAWAN  https://t.co/THoeqaPtTX
tok_dagang,#Lawan  https://t.co/00NhodPHRA
muhammad_shbrin,@N_Niran Me trying to join the black flag #lawan  https://t.co/fiLu03nwRn
amrlmn16,"Aku diam diri selama ini bukan bermakna aku sokong kalian. Tetapi aku terpaksa #Lawan supaya rakyat kenal setiap topeng yang kalian pakai termasuk golongan elit yang cukup dikagumi. Kalau rakyat tidak kenal, mustahil takkan tau. Rakyat masih bersabar. Tunggu masa sahaja lagi."
hilmi_izuddin,Kerajaan ini tidak dilantik dan kerajaan ini kerajaan gagal.  #Lawan ✊🏻 #KerajaanBangsat  #KerajaanGagal
faiqanuar,By HarisRashid on Twitter. #lawan  https://t.co/mpUsHYpxPh
yapompiow,#Lawan  https://t.co/J6ssdZ1kBX
baqim_,#Lawan
aizxtakmxl,Fuck the police #DengkiKe #BenderaHitam #Lawan
pssyhnth,Ini kali lahhh!!! 🏴🏴🏴 #lawan #BenderaHitam  https://t.co/oUUpFeVta4
yanameera,Power! #lawan
nnjh1997,Raise the 🏴 higher✊🏻 #Lawan
nashafahamy,#Lawan 🏴🏴🏴🏴
aqilaazharrr,"I havent finished watching V for Vendetta (yes, for years) but #Lawan is giving the energy"
fhminsrdn,#Lawan #LawanTetapLawan  https://t.co/JmqVGwgZkk
ibnujang,Bebal punya @PDRMsia . Pergi settlekan yang makan durian tu waknat. Bodohh #LawanTetapLawan #Lawan #BenderaHitam  https://t.co/ZvnOl5zFAx
izdgrnde,KITA LAWAN!!!! #BenderaHitam  #Lawan
hklhrdn_,Aku memang gemor pakai warna hitam/gelap dari dulu lagi ke mana saja.  Solidariti bersama rakyat! ✊🏻  #Lawan  https://t.co/mAEHUoKBqm
resmi_yadh,kerajaan sundal!  #lawan
_lemondah,"Glad to see many people wore black just now, some of us just nodding head to each other while noticing what colour we are wearing. #lawan #cucukmyAZ  https://t.co/FSgBuruIAC"
blxckflwer,Raise yours! #BlackFlag 🏴 #Lawan #KerajaanGagal #NewProfilePic  https://t.co/fVkaby7wOL
zainzaj,#LAWAN  https://t.co/by4tN6tnca
annazrulan,"All these blacky appearances with #Lawan hashtag is a teaser as well as a reminder to the gov bcs we’re all still abide with the law. But remember, there will be a lot more to come if you chose to ignore our messages."
syahredzan,"142,000 #lawan   Boleh cecah 150K tak?  https://t.co/NR3LEnhgXs"
farranazira,"#Lawan exceeds 140k tweets in Malaysia. Stay mad Malaysians, drag those ministers, MPs, senators to hell"
mihaelmkeehl,#BenderaHitam  #LAWAN #MuhyiddinLetakJawatan #KerajaanGagal  https://t.co/zJGoEs3Ba9
jeonjkbitch,#Lawan 🤪
jairiham,#Lawan #LawanTetapLawan #BenderaHitam #MuhyiddinLetakJawatan
yanyon87,"Betulkan la balik benda ni macam pasa pkp 1.0 dulu @MuhyiddinYassin oi. Korang bukan tak reti buat kerja. Dulu boleh handle sampai 0 kes. Rakyat siap buat mural lukis muka korang, betapa sanjung korang dulu. Seolah hero kami. Awat skrg macam babi oi? #lawan #kerajaangagal  https://t.co/GXY3XShWuX"
atinazainordin,Lambat tapi tetap #Lawan!  https://t.co/YzpSkwNhkN
socialcrates,"5,434 are dead at the hands of this government on the day of posting.  If we don't fight now, more will perish.  #Lawan #MuhyiddinLetakJawatan #KerajaanGagal #BenderaHitam  https://t.co/D31G8TgVHX"
herecomeshahrul,Aku bertekad utk sarung baju hitam setiap hari sehinggalah Parlimen dibuka. #LAWAN 🏴🏴  p/s nasib baik almari aku penuh dgn baju putih &amp; hitam.
anepp_p,#lawan 🏴  https://t.co/XDYU2MbLfu
h_bakkaniy,"Kita #Lawan dengan kibarkan #BenderaHitam tapi bukan dengan menghitamkan Jalur Gemilang, ibtu bukan lawan, itu biadab.  Nama negara, jata negara, bendera negara bukan milik kerajaan memerintah untuk kita sesuka hati ubah untuk tunjuk perasaan.  https://t.co/9oDf6GbSva"
iamapisz,Kereta aku dah HITAM so kira #lawan jugak an?
5xuuuuuu,"Prihatin Pack dari Watsons. Boleh dapatkan di Watsons (Lembah Klang) berdekatan. Beli Prihatin Pack dan boleh hantar sendiri ke Food (Help?) Bank tersenarai, atau boleh suruh pekerja Watsons yang hantarkan.  🏴pink in your areahhh untuk #Lawan  #mukabaraitidolambatdemiEURO2020  https://t.co/QpNvpIjWTL"
af19_salim,#Lawan 🏴  https://t.co/164ZgB36nF
badrunramli,Sempat siap draft artwork je. #Lawan #RakyatBersatu 🏴🏴🏴  https://t.co/RUwvtzWgf3
syzwncdm,#LAWAN
ryanrantsagain,#Lawan 🏴🏴🏴🏴
fazrulazril,#NewProfilePic #BlackFlag #Lawan #KerajaanCirit #KerajaanGagal  https://t.co/OyIzj8aydj
mohdsufian,#Lawan  https://t.co/9CUXQREbFQ
muuuuuuu7711,#lawan #benderahitam  https://t.co/9EQKAyPz0F
annieveeee,Cute mumumumumu :3 #Lawan
sofiarrahim,@MaxCB1K Thanks! #Lawan
abdulalimaz,Ingatkan 14k tweet. Sudah 145k tweet #LawanTetapLawan #Lawan
ananinanino,#Lawan #KerajaanMerapu paling merapu mesti la menteri kedah.  #NewProfilePic  https://t.co/BKwiY8pSm9
rhmtdnlrsmn,Dah 4 hari case 6k dengan total 26k case. Menteri bangsat #KerajaanBangsat #KerajaanBodoh #KerajaanGagal #Lawan #BenderaHitam
wannismail,Aduh marina ibrahim punya fleet. Hidup DAP! Bendera hitam #lawan
wafqrkrk,"@MuhyiddinYassin jangan cabar rakyat malaysia. israel pun boleh ditumpaskan, apatah lagi encik #KerajaanGagal #Lawan #MuhyidddinLetakJawatan"
muzayennn,🏴🏴🏴 #Lawan
mandeepkarpall,"Saya rasa, kita boleh teruskan mengibar 🏴 selagi mana #KerajaanGagal ini masih berkuasa. Teruskan pacak atau naikkan lebih banyak 🏴  #Lawan"
daryideanna,"Revolusi ini telah lama tertangguh, lagi kita ditekan lagi kita melawan. #Lawan sampai #MuhyiddinLetakJawatan"
paqmadsri,Apa punya baghal ni 🥶 #Lawan #LawanTetapLawan
hhfzn,Lawan tetap lawan 💪🏻 #BenderaHitam #Lawan  https://t.co/RaejwVt3ya
_madpir,#LawanTetapLawan #Lawan #KerajaanBangsat #LETAKJAWATAN #muhyiddinOut  https://t.co/r5Wa1wJAPh
marlbororeads,Never forgive. Never forget. 🏴 #LAWAN #BenderaHitam #KerajaanPembunuh  https://t.co/71ttJM4tqN
