bevintharaj,🏴🏴🏴 #Lawan
hewoijah,"Selain ahli politik yang tak boleh join angkat #BenderaPutih 🏳️ dan angkat #BenderaHitam 🏴 tanda #LAWAN , ada satu lg golongan tak boleh join. Golongan yang salahkan rakyat satu ketika dahulu #rakyatgagal kecuali mereka yang insaf yeah come do join us"
penasuria,"@SyedSaddiq 1. Kerana ahli-ahli politik yang tidak berperikemanusiaan, yang tidak mendahului rakyat dan menggunakan  agama Islam sebagai alat politik.  2. Sistem yang tidak transparent lagi-lagi program vaksin yang lambat dan tidak cukup effektif.  #BenderaHitam #Lawan"
drsyarizan,"@esshimself Apa lah lagi #KerajaanGagal ni rancang. Nak buat rancangan jijik lagi utk terus berkuasa. Ehh babi. Korg dah tua lah babi, bila bila masa je mampus. Baik kau g taubat, dah2 lah mkn duit haram tu bangsat. Parlimen tkut pula nak msuk.  Bodoh #Lawan #BenderaHitam"
badboy2662,Bayangkan.. UEL pernah kena block masuk kawasan kerana ada pihak atasan sakit hati.  This is why kita kena #Lawan 🏴
abdialhaadi,#Respect #Lawan let’s gooooo Onigashima!!!!
niwasini_k,"We know it’s not easy, we trusted you for more than a year but what’s the result? 5434 people died due the infection not counting those who lost their life struggling to survive in this pandemic...  End the emergency proclamation and open the parliament! #lawan #kerajaangagal"
sarfabian,Good morning. Starting a new dawn.  #Lawan  and #muhyiddinletakjawatan
lanchiaop,#Lawan Ganti Kerajaan ada apa guna kalau Ketuanan Melayu dikekalkan? Same tea different pot. You will still suffer from mismanagement. Dun believe me? Wait and see.
hziqfkr,Guna muka sendiri nak #lawan boleh ke? Aku pon dah cukup hitam dah. Belum lagi hati aku hahahahaahaaha
lanchiaop,#Lawan Kerajaan Ketuanan Melayu. No check and balances in a multi-racial society. Naik bendera warna apa pun tak guna. You deserve the govt you voted for.
l1li_nya,Its time to take back our country 🏴🏴 #LAWAN #KerajaaanGagal
lanchiaop,#Lawan Kerajaan sekarang adalah hasil Ketuanan Melayu. Semua kena dikuasai Melayu konon. Result? Majority yg mati dan suffering are Melayu. Happy now?
nazirsn,🏴 #lawan
amatselamat,Balik kampung  dan start tulis buku back up diri sendiri...cetak yg kulit tebal je tau ...kuikui  #Lawan #muhyiddinletakjawatan
affendysyazwan,#BenderaHitam #lawan  https://t.co/uMO1QWo1Do
farshiela,#Lawan
hazgus,"@AnnuarMusa Sendiri bagi arahan pasang, sendiri nak jadi hero arahkan buka.  #kerjabodoh #KerajaanBangsat  #KerajaaanGagal  #Lawan"
farisaizat,You don't necessarily need atomic bombs to destroy a nation. Politicians who value their pockets than the life of citizens always do that every day.Maybe la?? #benderahitam #lawan #panjihitam  https://t.co/F24q2cK7hR
hazgus,"Ku sangkakan Israel, rupanya #KerajaanBangsat  #Lawan  https://t.co/37kQ2A1RO7"
sotong_terbang2,"Perghhhh mcm tu je kena balik. Dia zalimi rakyat,Allah balas dgn aib and pekung dia terbukak mcm tu je. Peringatan utk lebai2 kat luar sana,jgn jadi penunggang agama #lawan #benderahitam"
owesemboi,#lawan  https://t.co/3v4Wt3mBr7
mankimcat,"Good morning. Daily reminder, selagi @MuhyiddinYassin x turun, selagi tu lah aku spam #Lawan. This isn't a one day fight. This is our generation's war 🏴"
_hzqmzln,#Lawan
sadsaddieissad,Tired of the manipulation from govt. People are suffering. Children couldn't enjoy their childhood. Suicide cases are rising. People are burnt out. Cases aren't dropped. Hospitals are full and frontliners are exhausted. #Lawan
kamalrezuan,#lawan #KerajaanGagal #makKauItam  https://t.co/nXf7OQBH1I
thekishenthinks,"Article 10 of the Constitution of Malaysia guarantees right to freedom of speech and expressions (unless a restriction is imposed by the federal law).  Hence, it manifests that we are clearly exercising our rights legally by all means.  Why wait, let's #Lawan for 🇲🇾!!  https://t.co/Rqc0oj0gAK"
asyrafunk,Jangan pernah mengalah guys. #Lawan #BenderaPutih #BenderaHitam #RakyatJagaRakyat  https://t.co/FgS8iltILy
amirulzickery,#Lawan has mysteriously disappeared from the trending list in Malaysia?
__ireneazmi,#LAWAN 🏴🏴🏴
mohdasridungun,Tetap #Lawan
maximillianleen,"Sebab double standard kerajaan, pening dengan SOP yang sentiasa berubah, penat dengan pengurusan pandemik yang tak efficent. Kerana rakyat biasa hidup merana sedangkan menteri hidup mewah. 🏴 #Lawan #KerajaanBodoh #BenderaHitam"
badboy2662,Kita kena buka mamak before semi or finals coz aku dah lemau tgk bola sorg2 kat rumah. We need to be happy again guys.  #Lawan 🏴 #KerajaanBangsat
szieyfahrose,#BenderaPutih #BenderaHitam #Lawan
aidilhaha_,#Lawan
badboy2662,#Lawan 🏴✊🏽
badboy2662,#Lawan 🏴✊🏽
gokusan18449716,#lawan #IsraeliCrimes  #FreePalestine #SaveJerusalem #SaveSilwan #SaveSheikJarrah #SaveNablus #SaveBeita #SavePalestine
naaahnie,Good morning  #Lawan
jeeahmad,Rakyat tak boleh bersosial wpn dalam rumah sendiri. Korang boleh pulak. #lawan #KerajaanGagal #KerajaanZalim
tatwaiphang,The government should be afraid of people. Especially the #KerajaanGagal #Lawan  https://t.co/bgyPVTmqSF
syamim_nabil,#KerajaanBodoh #KerajaanGagal #KerajaanZalim #KerajaanPembunuh #Lawan
namttoki,wait why black now? wasnt it white? #LAWAN
ganxhiyan,"Waking up in the midnight just to realise someone removed my #BenderaHitam , It can be removed, But tanda #lawan can't!  https://t.co/GOXMxZyGQZ"
irmizwan,"PKP, PKPB, PKPD dan segala varian PKP bukannya dpt turunkan kes covid-19 pun. Ia hanya menambahkan kesusahan rakyat marhaen dan ""double-standard"". #KerajaanGagal #KerajaanBodoh #MuhyiddinLetakJawatan #Lawan #BenderaHitam"
mozution,"When they say they want to beri peluang for anak muda.   Yelah, anak muda tu anak Dato, anak Tan Sri, anak YB, anak CEO, anak Ketua Bahagian, anak Ketua Cawangan, anak itu anak ini asalkan muda.   Anak muda marhaen boleh sambung buat Foodpanda or Grab. Terima kasih.   #Lawan"
solehudinrosman,"Aku nk joint gak,, dah alang2 nk subuh ni. #Lawan #KerajaanGagal  #BenderaHitam #BlackFlag #MuhyiddinLetakJawatan #KerajaanBangsat #KerajaanBodoh  https://t.co/EGwxdQVBtM"
dzarif_arifin,Tribute to #politiciananjing #lawan  https://t.co/qGicvwXx2r
itsmuhaiminlah,#Lawan #lawancovid19 #BenderaPutih
itsmuhaiminlah,#LAWAN #BenderaHitam
yoyoshar,Kalau tak boleh #Lawan guna tudung bawal hitam gantung kat rumah. Apa lagi kita boleh buat? Like seriously.
adrianflude,"Every country is suffering the effects of #Covid, a thread 🧵 of hope, a tale of compassion, an act of #community, a #WhiteFlag is not surrender. #Lawan"
sauficoupy,Yat as rakyat dgn masa depan yang gelap.. bendera putih dikibar untuk cari sinar harapan bantuan orang lain... Sampai kat politician2 bangsat dikatanya propa semata-mata.. #Lawan
hazwan_puzi,"Bendera, ahh biasa...aku bagi kucing hitam!  #Lawan  https://t.co/BvHGNC9zCT"
badrimarcello1,Bendera Hitam is not just a flag. It's beginning of a movement of fighting for the Rakyat to claimback Malaysia. Im doing my small part in this solidarity. Im tired.. We tired with this gov! #Lawan #BenderaHitam #MuhyiddinLetakJawatan  https://t.co/R04x93lOp7
